row_IDs_x_x,IDs,cor_coeffs_x_x,p_values_x_x,adjusted_p_values_x_x,row_IDs_y_x,cor_coeffs_y_x,p_values_y_x,adjusted_p_values_y_x,row_IDs_x_x,cor_coeffs_x_x,p_values_x_x,adjusted_p_values_x_x,row_IDs_x_y,cor_coeffs_x_y,p_values_x_y,adjusted_p_values_x_y,row_IDs_y_y,cor_coeffs_y_y,p_values_y_y,adjusted_p_values_y_y,row_IDs_y_x,cor_coeffs_y_x,p_values_y_x,adjusted_p_values_y_x,row_IDs_x_y,cor_coeffs_x_y,p_values_x_y,adjusted_p_values_x_y,row_IDs_y_y,cor_coeffs_y_y,p_values_y_y,adjusted_p_values_y_y,row_IDs_x,cor_coeffs_x,p_values_x,adjusted_p_values_x,row_IDs_x,cor_coeffs_x,p_values_x,adjusted_p_values_x,row_IDs_y,cor_coeffs_y,p_values_y,adjusted_p_values_y,row_IDs_y,cor_coeffs_y,p_values_y,adjusted_p_values_y
2119,787.1266069_20.949766,0.9517351219208483,4.274782373345352e-09,9.938869018027942e-06,2119,0.9241057393675949,4.3534871945415216e-08,0.00010121857727309038,2119,0.9255833277916055,1.3744932849078614e-08,3.195696887410778e-05,2119,0.9245575163787436,1.1248149314022414e-07,0.0002615194715510211,2119,0.9257239223890914,3.683097501510841e-08,8.563201691012705e-05,2119,0.9255833277916055,1.3744932849078614e-08,3.195696887410778e-05,2119,0.9474019157087896,8.043498147519944e-09,1.870113319298387e-05,2119,0.923522646436015,4.619717340300275e-08,0.0001074084281619814,2119,0.9255833277916056,1.3744932849078444e-08,3.1956968874107385e-05,2119,0.927833804309625,8.140873250579689e-08,0.00018927530307597776,2119,0.9294802531224654,2.461148708447197e-08,5.722170747139733e-05,2119,0.9255833277916055,1.3744932849078614e-08,3.195696887410778e-05
954,268.1294665_10.531303,0.9488382956832568,6.5627430327726375e-09,1.5258377551196382e-05,954,0.8707865802514458,2.5848221983926096e-06,0.006009711611262817,954,0.8631935082730109,1.953421215263553e-06,0.004541704325487761,954,0.8842981900314099,2.465209477178967e-06,0.005731612034441099,954,0.873099364029114,2.2541213490600347e-06,0.005240832136564581,954,0.8631935082730109,1.953421215263553e-06,0.004541704325487761,954,0.9281120113067438,7.914925041615675e-08,0.00018402200721756443,954,0.859120009751671,4.966862005987616e-06,0.011547954163921207,954,0.8631935082730109,1.953421215263553e-06,0.004541704325487761,954,0.8592950931630394,9.914742987693729e-06,0.02305177744638792,954,0.8591200097516711,4.966862005987585e-06,0.011547954163921136,954,0.863193508273011,1.95342121526354e-06,0.004541704325487731
1759,430.1375249_17.39666,0.9404796312528615,1.9922363502968973e-08,4.6319495144402864e-05,1759,0.8680877042645294,3.0227358402340944e-06,0.007027860828544269,1759,0.8631448157501943,1.9589996959321984e-06,0.004554674293042361,1759,0.8794023698288888,3.314670061355116e-06,0.007706607892650644,1759,0.8736213586349177,2.1847416399361895e-06,0.005079524312851641,1759,0.8631448157501942,1.9589996959322115e-06,0.0045546742930423914,1759,0.9028851042833638,7.008682872937811e-07,0.001629518767958041,1759,0.8589702486557025,5.0067836541357754e-06,0.011640771995865678,1759,0.8631448157501942,1.9589996959322115e-06,0.0045546742930423914,1759,0.8582715022951926,1.0436122115591219e-05,0.024263983918749583,1759,0.8589702486557024,5.006783654135804e-06,0.011640771995865745,1759,0.8631448157501943,1.9589996959321984e-06,0.004554674293042361
2120,383.0759826_20.949451,0.9369727505853014,3.0292323762965e-08,7.042965274889362e-05,2120,0.8990783082318896,3.926063690475599e-07,0.0009128098080355768,2120,0.9025234140550852,1.2582288077330732e-07,0.0002925381977979395,2120,0.9031635623496203,6.865063329559081e-07,0.0015961272241224863,2120,0.9035137850990439,2.780022183745614e-07,0.0006463551577208552,2120,0.9025234140550851,1.2582288077330846e-07,0.00029253819779794215,2120,0.9285754532526982,7.550486780278726e-08,0.00017554881764148038,2120,0.8996652882102437,3.75420460235224e-07,0.0008728525700468958,2120,0.9025234140550851,1.2582288077330846e-07,0.00029253819779794215,2120,0.90918403894843,4.318808547983167e-07,0.0010041229874060862,2120,0.9120603929817416,1.3608256760054112e-07,0.0003163919696712581,2120,0.9025234140550851,1.2582288077330846e-07,0.00029253819779794215
1878,444.1530589_18.667807,0.9359661666689466,3.4013742868516594e-08,7.908195216930108e-05,1878,0.8672670285519158,3.167935858207652e-06,0.00736545087033279,1878,0.8573992336164451,2.7224914130686167e-06,0.0063297925353845335,1878,0.8820042055905206,2.8366321383554006e-06,0.006595169721676306,1878,0.8680233181404168,3.0339167787809207e-06,0.007053856510665641,1878,0.857399233616445,2.722491413068634e-06,0.006329792535384574,1878,0.8901830690653185,1.696296446636871e-06,0.003943889238430725,1878,0.8530577496006649,6.8196114786261575e-06,0.015855596687805815,1878,0.8573992336164449,2.7224914130686515e-06,0.006329792535384615,1878,0.8516254718740384,1.4421606351232997e-05,0.03353023476661672,1878,0.8530577496006649,6.8196114786261575e-06,0.015855596687805815,1878,0.8573992336164449,2.7224914130686515e-06,0.006329792535384615
913,350.1501304_10.3947735,0.9347679222389378,3.895020753428562e-08,9.055923251721406e-05,913,0.8597766763794873,4.795024517601893e-06,0.011148432003424401,913,0.858228645358735,2.59846309117175e-06,0.006041426686974319,913,0.868592754004391,6.1074462855848155e-06,0.014199812613984696,913,0.8647812255872319,3.6449281543830472e-06,0.008474457958940584,913,0.8582286453587349,2.5984630911717662e-06,0.006041426686974357,913,0.9044242943716344,6.245879808179414e-07,0.001452167055401714,913,0.853924461431464,6.523062341509457e-06,0.015166119944009487,913,0.858228645358735,2.59846309117175e-06,0.006041426686974319,913,0.8535651609574706,1.31437749743256e-05,0.030559276815307023,913,0.8549072907277104,6.200232794623614e-06,0.014415541247499903,913,0.8582286453587349,2.5984630911717662e-06,0.006041426686974357
1060,328.1295644_11.283366,0.9332601017733977,4.602700851979704e-08,0.00010701279480852813,1060,0.857935280072877,5.290281555215605e-06,0.012299904615876281,1060,0.8552107891549438,3.0746744998980136e-06,0.0071486182122628816,1060,0.8693547388113769,5.860292444553859e-06,0.013625179933587722,1060,0.8633997201928583,3.935768722445935e-06,0.0091506622796868,1060,0.8552107891549436,3.074674499898032e-06,0.007148618212262924,1060,0.898082424340831,9.922665032242439e-07,0.002307019619996367,1060,0.8508045601253506,7.645231595463651e-06,0.01777516345945299,1060,0.8552107891549436,3.074674499898032e-06,0.007148618212262924,1060,0.8503849587077027,1.5292875575971856e-05,0.03555593571413457,1060,0.8518267765542786,7.260630381873105e-06,0.016880965637854968,1060,0.8552107891549435,3.0746744998980505e-06,0.007148618212262967
2118,405.0580054_20.94552,0.922493139039763,1.3688602736435958e-07,0.00031826001362213603,2118,0.8671807491244639,3.1835436153858057e-06,0.007401738905771998,2118,0.8737723932052321,1.0232894765942863e-06,0.0023791480330817155,2118,0.8804277054453131,3.118680214818441e-06,0.007250931499452875,2118,0.8780810228343827,1.6631383789885972e-06,0.0038667967311484886,2118,0.8737723932052323,1.0232894765942793e-06,0.0023791480330816995,2118,0.8997718008590581,8.797886519890155e-07,0.002045508615874461,2118,0.8702238361962122,2.671323009888672e-06,0.0062108259979911625,2118,0.8737723932052321,1.0232894765942863e-06,0.0023791480330817155,2118,0.890677423100737,1.642291193246665e-06,0.003818327024298496,2118,0.8944616747005542,5.531593692941745e-07,0.0012860955336089558,2118,0.8737723932052321,1.0232894765942863e-06,0.0023791480330817155
