row ID,row m/z,row retention time,L9.mzML Peak area,CE.mzML Peak area,L5.mzML Peak area,L10.mzML Peak area,L8.mzML Peak area,L4.mzML Peak area,L2.mzML Peak area,L3.mzML Peak area,L11.mzML Peak area,L7.mzML Peak area,L6.mzML Peak area,L17.mzML Peak area,L18.mzML Peak area,L15.mzML Peak area,L13.mzML Peak area,L14.mzML Peak area,L16.mzML Peak area,L12.mzML Peak area,L1.mzML Peak area
2417,209.1325747,23.740618,0.00,0.00,2176416.50,0.00,0.00,0.00,0.00,0.00,0.00,289582.78,2214132.20,0.00,0.00,513643.72,0.00,0.00,0.00,267219.20,0.00
1172,321.1420595,12.408078,943933.20,612510.00,991458.60,910264.30,1022773.10,918097.00,592104.00,744744.25,479405.56,1220774.60,1103868.60,0.00,0.00,0.00,0.00,0.00,0.00,352384.78,0.00
3076,586.4338378,28.848215,0.00,108643.81,0.00,0.00,0.00,0.00,2429820.50,56264.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6533198.00
3039,461.3449787,28.59691,0.00,1396026.20,0.00,0.00,0.00,682486.30,3050345.00,1561315.00,0.00,0.00,49731.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6503720.00
1127,170.1541205,12.0208435,0.00,0.00,0.00,301781.16,0.00,0.00,0.00,0.00,165317.94,174294.44,0.00,595846.90,880489.60,607636.56,318538.20,649773.10,658994.70,480735.66,769092.90
2341,263.2369562,23.257498,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,468139.75,0.00,300018.30,0.00,232527.97,4288426.50
2007,352.2480452,19.927637,1690044.10,0.00,13600000.00,2446211.80,1573468.40,0.00,0.00,0.00,0.00,3273849.00,13700000.00,0.00,0.00,4765106.00,0.00,0.00,1605147.50,3111539.50,0.00
2257,472.2695252,22.589354,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,503875.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2974,421.2709129,28.167866,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4689223.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2525,401.2685807,24.534094,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2671308.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
190,129.0548327,6.024969,501530.66,169421.42,234957.75,518722.78,485016.94,165250.67,0.00,170345.73,287358.66,440549.62,431710.94,0.00,0.00,0.00,49063.09,0.00,0.00,293876.60,0.00
2677,489.3664647,25.85995,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,406644.40,0.00,319314.88,0.00,54959.23,1425967.80
2353,336.2509236,23.336704,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1348964.00
493,109.0525606,7.9758453,0.00,299952.62,467547.72,0.00,0.00,527894.70,536500.10,544954.75,0.00,0.00,334064.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1112,359.1814825,11.82059,1756314.80,883189.94,642357.60,2319192.80,1407729.50,604713.75,1034563.10,839894.10,1936212.50,1175951.40,852118.25,1490005.60,2041071.10,1528657.80,2015408.00,2052671.80,2491757.00,2577205.80,872898.20
