row_IDs_x_x,IDs,cor_coeffs_x_x,p_values_x_x,adjusted_p_values_x_x,row_IDs_y_x,cor_coeffs_y_x,p_values_y_x,adjusted_p_values_y_x,row_IDs_x,cor_coeffs_x,p_values_x,adjusted_p_values_x,row_IDs_x_y,cor_coeffs_x_y,p_values_x_y,adjusted_p_values_x_y,row_IDs_y_y,cor_coeffs_y_y,p_values_y_y,adjusted_p_values_y_y,row_IDs_y,cor_coeffs_y,p_values_y,adjusted_p_values_y
2119,787.1266069_20.949766,0.9309043284014639,5.929055598076621e-08,0.00013785054265528146,2119,0.9235226464360151,4.619717340300225e-08,0.00010740842816198022,2119,0.9255833277916055,1.3744932849078614e-08,3.195696887410778e-05,2119,0.9251011903874129,1.0671402113574438e-07,0.00024811009914060567,2119,0.9254815991934727,3.7773918300059177e-08,8.782436004763758e-05,2119,0.9255833277916055,1.3744932849078614e-08,3.195696887410778e-05
2120,383.0759826_20.949451,0.9057497857672491,5.647049849417495e-07,0.0013129390899895676,2120,0.8998772582122885,3.6937609495472626e-07,0.0008587994207697385,2120,0.9025234140550851,1.2582288077330846e-07,0.00029253819779794215,2120,0.9006160563643437,8.27792150957091e-07,0.0019246167509752365,2120,0.9029382057813304,2.9100664053224e-07,0.000676590439237458,2120,0.9025234140550851,1.2582288077330846e-07,0.00029253819779794215
2118,405.0580054_20.94552,0.8682249999729709,6.229866972196777e-06,0.014484440710357507,2118,0.8715162701366657,2.4762553136866133e-06,0.005757293604321376,2118,0.8737723932052321,1.0232894765942863e-06,0.0023791480330817155,2118,0.8690712516343005,5.951229473322846e-06,0.013836608525475618,2118,0.8746826348605498,2.049331610889478e-06,0.004764695995318036,2118,0.873772393205232,1.0232894765942935e-06,0.0023791480330817324
913,350.1501304_10.3947735,0.8573364430895191,1.0932580383144184e-05,0.02541824939081023,913,0.8578342214868653,5.318687438102477e-06,0.01236594829358826,913,0.8582286453587349,2.5984630911717662e-06,0.006041426686974357,913,0.8641540166989988,7.730763193599556e-06,0.017974024425118966,913,0.8677615213922804,3.0797460062050414e-06,0.007160409464426721,913,0.8582286453587349,2.5984630911717662e-06,0.006041426686974357
1243,329.1246195_12.920888,0.8566486164705471,1.1310449864317337e-05,0.02629679593453781,1243,0.8556428502985806,5.9676839334437696e-06,0.013874865145256765,1243,0.8521741314721751,3.6283730156234183e-06,0.008435967261324447,1243,0.8596834451350746,9.722808514573542e-06,0.022605529796383486,1243,0.8615442484196669,4.357615442894825e-06,0.010131455904730469,1243,0.8521741314721751,3.6283730156234183e-06,0.008435967261324447
1129,408.1555654_12.0370655,0.8556984365976187,1.185065036600379e-05,0.027552762100958812,1129,0.8417480650299911,1.1887330392375762e-05,0.027638043162273647,1129,0.8408257486490173,6.532836434297449e-06,0.01518884470974157,1129,0.8533238587870672,1.3297306077793842e-05,0.030916236630870682,1129,0.855598645739321,5.981444736303211e-06,0.013906859011904965,1129,0.8408257486490173,6.532836434297449e-06,0.01518884470974157
1759,430.1375249_17.39666,0.8552030089318969,1.2140894903171943e-05,0.028227580649874767,1759,0.8591519344242917,4.958387314832593e-06,0.011528250506985778,1759,0.8631448157501943,1.9589996959321984e-06,0.004554674293042361,1759,0.8694477598741844,5.830712017660989e-06,0.013556405441061799,1759,0.8718060119006439,2.434247434757437e-06,0.005659625285811041,1759,0.8631448157501943,1.9589996959321984e-06,0.004554674293042361
954,268.1294665_10.531303,0.8551669355958041,1.2162261957079012e-05,0.028277259050208704,954,0.8591200097516711,4.966862005987585e-06,0.011547954163921136,954,0.8631935082730109,1.953421215263553e-06,0.004541704325487761,954,0.8690717000750265,5.951084679840201e-06,0.013836271880628468,954,0.8729594832703713,2.273032205358255e-06,0.005284799877457943,954,0.8631935082730109,1.953421215263553e-06,0.004541704325487761
1009,281.0924044_10.898502,0.8526910743913894,1.3707169581423424e-05,0.03186916927680946,1009,0.8487978657850923,8.451261330203031e-06,0.019649182592722046,1009,0.8414151367431988,6.343462877014886e-06,0.01474855118905961,1009,0.8458476365589456,1.8870414321274477e-05,0.04387371329696316,1009,0.8481897163184121,8.709474213233271e-06,0.020249527545767355,1009,0.8414151367431987,6.3434628770149224e-06,0.014748551189059695
1499,408.1192438_15.638751,0.8501568253666565,1.5457867568964228e-05,0.03593954209784183,1499,0.8389162537399119,1.3571054820444502e-05,0.031552702457533464,1499,0.8405652330081073,6.618086033234594e-06,0.015387050027270432,1499,0.8455552945657483,1.912337152056287e-05,0.04446183878530867,1499,0.8483822358528206,8.627011300911394e-06,0.02005780127461899,1499,0.8405652330081073,6.618086033234594e-06,0.015387050027270432
