row_IDs_x_x,IDs,cor_coeffs_x_x,p_values_x_x,adjusted_p_values_x_x,row_IDs_y_x,cor_coeffs_y_x,p_values_y_x,adjusted_p_values_y_x,row_IDs_x,cor_coeffs_x,p_values_x,adjusted_p_values_x,row_IDs_x_y,cor_coeffs_x_y,p_values_x_y,adjusted_p_values_x_y,row_IDs_y_y,cor_coeffs_y_y,p_values_y_y,adjusted_p_values_y_y,row_IDs_y,cor_coeffs_y,p_values_y,adjusted_p_values_y
2119,787.1266069_20.949766,0.9562131591067725,2.086604758169584e-09,4.851356062744283e-06,2119,0.9525411472495202,1.114603197605098e-09,2.5914524344318527e-06,2119,0.9255833277916056,1.3744932849078444e-08,3.1956968874107385e-05,2119,0.9384255700305468,2.5540488378352173e-08,5.9381635479668805e-05,2119,0.9337594587549964,1.5121374285750215e-08,3.515719521436925e-05,2119,0.9255833277916055,1.3744932849078614e-08,3.195696887410778e-05
2120,383.0759826_20.949451,0.9494644631224092,5.994745798444095e-09,1.3937783981382521e-05,2120,0.9407924692101834,6.3004139918260045e-09,1.4648462530995461e-05,2120,0.9025234140550848,1.2582288077331082e-07,0.00029253819779794763,2120,0.9203451928031011,1.6696862594757868e-07,0.00038820205532812043,2120,0.9120603929817415,1.3608256760054245e-07,0.0003163919696712612,2120,0.9025234140550853,1.2582288077330613e-07,0.00029253819779793673
2118,405.0580054_20.94552,0.9450945126471727,1.1024296926458055e-08,2.563149035401498e-05,2118,0.9262559393975135,3.483206300088376e-08,8.098454647705474e-05,2118,0.8737723932052321,1.0232894765942863e-06,0.0023791480330817155,2118,0.8948061397730656,1.245745580849536e-06,0.0028963584754751713,2118,0.8944616747005542,5.531593692941745e-07,0.0012860955336089558,2118,0.8737723932052321,1.0232894765942863e-06,0.0023791480330817155
954,268.1294665_10.531303,0.9322890111727228,5.114716542254762e-08,0.00011891715960742321,954,0.9345190683414514,1.3822095101710807e-08,3.213637111147763e-05,954,0.863193508273011,1.95342121526354e-06,0.004541704325487731,954,0.856501958894269,1.1392436947663333e-05,0.026487415903317248,954,0.8568779151836179,5.59403621035824e-06,0.013006134189082908,954,0.8631935082730109,1.953421215263553e-06,0.004541704325487761
913,350.1501304_10.3947735,0.9290428628855597,7.197618225872547e-08,0.0001673446237515367,913,0.927568448531701,3.02979472731804e-08,7.044272741014442e-05,913,0.858228645358735,2.59846309117175e-06,0.006041426686974319,913,0.8586298708008381,1.0250995738821278e-05,0.02383356509275947,913,0.8613523197558655,4.403387437406706e-06,0.010237875791970592,913,0.8582286453587349,2.5984630911717662e-06,0.006041426686974357
1759,430.1375249_17.39666,0.9276687829758967,8.277495983035578e-08,0.0001924517816055772,1759,0.9299330115790398,2.3409351261433037e-08,5.442674168283181e-05,1759,0.8631448157501942,1.9589996959322115e-06,0.0045546742930423914,1759,0.8561938101400707,1.1566349010632193e-05,0.02689176144971985,1759,0.860606826608749,4.585115496317861e-06,0.010660393528939027,1759,0.8631448157501943,1.9589996959321984e-06,0.004554674293042361
1060,328.1295644_11.283366,0.9239960024263957,1.1871703749125804e-07,0.00027601711216717495,1060,0.9246608487376833,4.112496790350568e-08,9.56155503756507e-05,1060,0.8552107891549438,3.0746744998980136e-06,0.0071486182122628816,1060,0.8520075872980394,1.4161868027301393e-05,0.03292634316347574,1060,0.8548682737109037,6.212782225946299e-06,0.014444718675325145,1060,0.8552107891549438,3.0746744998980136e-06,0.0071486182122628816
1243,329.1246195_12.920888,0.9209240077517089,1.583523947506889e-07,0.00036816931779535167,1243,0.915758252158184,9.76616389870335e-08,0.0002270633106448529,1243,0.8521741314721751,3.6283730156234183e-06,0.008435967261324447,1243,0.8527977688072437,1.3637320289554007e-05,0.031706769673213064,1243,0.8575186885327555,5.408222722453669e-06,0.012574117829704782,1243,0.8521741314721751,3.6283730156234183e-06,0.008435967261324447
1268,246.0764256_13.161326,0.9196440929984903,1.7794102393087245e-07,0.00041371288063927846,1268,0.922406438728665,5.16893196801341e-08,0.00012017766825631178,1268,0.8540220650340186,3.282014001134179e-06,0.0076306825526369654,1268,0.8507448500484477,1.5035630382394909e-05,0.03495784063906816,1268,0.8557738378673498,5.927067127980084e-06,0.013780431072553697,1268,0.8540220650340185,3.282014001134199e-06,0.007630682552637013
1878,444.1530589_18.667807,0.9177171317537618,2.1133993409446798e-07,0.0004913653467696381,1878,0.9204974044231662,6.239944761253767e-08,0.00014507871569915007,1878,0.857399233616445,2.722491413068634e-06,0.006329792535384574,1878,0.8500503351424162,1.553539943977399e-05,0.03611980369747453,1878,0.8526062945303235,6.978606893542878e-06,0.01622526102748719,1878,0.8573992336164451,2.7224914130686167e-06,0.0063297925353845335
