row_IDs_x_x,IDs,cor_coeffs_x_x,p_values_x_x,adjusted_p_values_x_x,row_IDs_y_x,cor_coeffs_y_x,p_values_y_x,adjusted_p_values_y_x,row_IDs_x_x,cor_coeffs_x_x,p_values_x_x,adjusted_p_values_x_x,row_IDs_x_y,cor_coeffs_x_y,p_values_x_y,adjusted_p_values_x_y,row_IDs_y_y,cor_coeffs_y_y,p_values_y_y,adjusted_p_values_y_y,row_IDs_y_x,cor_coeffs_y_x,p_values_y_x,adjusted_p_values_y_x,row_IDs_x_y,cor_coeffs_x_y,p_values_x_y,adjusted_p_values_x_y,row_IDs_y_y,cor_coeffs_y_y,p_values_y_y,adjusted_p_values_y_y,row_IDs,cor_coeffs,p_values,adjusted_p_values
2119,787.1266069_20.949766,0.9221162965379279,1.4179890755338295e-07,0.00032968246006161536,2119,0.923376834919377,4.688456702015314e-08,0.00010900661832185606,2119,0.9255833277916055,1.3744932849078614e-08,3.195696887410778e-05,2119,0.9274424018987844,8.46811894956593e-08,0.00019688376557740788,2119,0.9254815991934726,3.7773918300059613e-08,8.78243600476386e-05,2119,0.9255833277916055,1.3744932849078614e-08,3.195696887410778e-05,2119,0.9319084754688693,5.328297826982119e-08,0.00012388292447733428,2119,0.9275378973295194,3.039735661174571e-08,7.067385412230877e-05,2119,0.9255833277916055,1.3744932849078614e-08,3.195696887410778e-05
2120,383.0759826_20.949451,0.8959748388377583,1.1496330368342436e-06,0.0026728968106396163,2120,0.9012979439374017,3.3099190180844296e-07,0.0007695561717046299,2120,0.9025234140550848,1.2582288077331082e-07,0.00029253819779794763,2120,0.912000493056212,3.438656512383761e-07,0.0007994876391292245,2120,0.9029382057813305,2.9100664053223733e-07,0.0006765904392374518,2120,0.9025234140550852,1.2582288077330732e-07,0.0002925381977979395,2120,0.9171687087058037,2.2177495111130354e-07,0.0005156267613337807,2120,0.906672868617343,2.1519398949940906e-07,0.000500326025586126,2120,0.9025234140550851,1.2582288077330846e-07,0.00029253819779794215
2118,405.0580054_20.94552,0.8686776798706706,6.079468352244824e-06,0.014134763918969217,2118,0.8745814028837307,2.0619282699920874e-06,0.0047939832277316035,2118,0.8737723932052321,1.0232894765942863e-06,0.0023791480330817155,2118,0.8987656673436936,9.453797116282418e-07,0.002198007829535662,2118,0.8780810228343826,1.6631383789886087e-06,0.003866796731148515,2118,0.8737723932052321,1.0232894765942863e-06,0.0023791480330817155,2118,0.9067541158021005,5.226689699068494e-07,0.001215205355033425,2118,0.8839008431914739,1.1461868727428085e-06,0.0026648844791270295,2118,0.8737723932052321,1.0232894765942863e-06,0.0023791480330817155
954,268.1294665_10.531303,0.8662393054921951,6.927583989555286e-06,0.01610663277571604,954,0.8579342769276954,5.290562881331518e-06,0.01230055869909578,954,0.8631935082730109,1.953421215263553e-06,0.004541704325487761,954,0.8754302970904906,4.176264264197383e-06,0.009709814414258916,954,0.8729594832703714,2.2730322053582406e-06,0.00528479987745791,954,0.8631935082730109,1.953421215263553e-06,0.004541704325487761,954,0.859021331291912,1.0051969799694315e-05,0.023370829784289282,954,0.8650510838531128,3.5903277397584033e-06,0.008347511994938288,954,0.863193508273011,1.95342121526354e-06,0.004541704325487731
1759,430.1375249_17.39666,0.8635438304372948,7.980241415477552e-06,0.01855406129098531,1759,0.8580440560763294,5.259852061523077e-06,0.012229156043041154,1759,0.8631448157501942,1.9589996959322115e-06,0.0045546742930423914,1759,0.8808492634216945,3.04101623020953e-06,0.007070362735237158,1759,0.8736213586349177,2.1847416399361895e-06,0.005079524312851641,1759,0.8631448157501942,1.9589996959322115e-06,0.0045546742930423914,1759,0.8582350333809807,1.0455119438109641e-05,0.024308152693604916,1759,0.8633660997493164,3.94308806454241e-06,0.009167679750061103,1759,0.8631448157501943,1.9589996959321984e-06,0.004554674293042361
1878,444.1530589_18.667807,0.8628721723522274,8.262734118550138e-06,0.01921085682562907,1878,0.8523158577122996,7.082566016113908e-06,0.016466965987464836,1878,0.857399233616445,2.722491413068634e-06,0.006329792535384574,1878,0.8688828364662939,6.012331217759501e-06,0.013978670081290839,1878,0.8638273857738357,3.843677409129446e-06,0.008936549976225961,1878,0.8573992336164449,2.7224914130686515e-06,0.006329792535384615,1878,0.8582972112321154,1.0422747488528996e-05,0.024232887910829917,1878,0.8634612436360208,3.92240497786447e-06,0.009119591573534891,1878,0.8573992336164449,2.7224914130686515e-06,0.006329792535384615
913,350.1501304_10.3947735,0.8548496593363886,1.2351571036449486e-05,0.028717402659745053,913,0.8528220670249389,6.902223043844245e-06,0.01604766857693787,913,0.8582286453587349,2.5984630911717662e-06,0.006041426686974357,913,0.8693797787576756,5.852317281606232e-06,0.013606637679734489,913,0.8677615213922802,3.079746006205061e-06,0.0071604094644267665,913,0.858228645358735,2.59846309117175e-06,0.006041426686974319,913,0.8559500727863764,1.1705500600725812e-05,0.027215288896687513,913,0.8582249253591667,5.209587464888454e-06,0.012112290855865656,913,0.858228645358735,2.59846309117175e-06,0.006041426686974319
