row ID,row m/z,row retention time,L9.mzML Peak area,CE.mzML Peak area,L5.mzML Peak area,L10.mzML Peak area,L8.mzML Peak area,L4.mzML Peak area,L2.mzML Peak area,L3.mzML Peak area,L11.mzML Peak area,L7.mzML Peak area,L6.mzML Peak area,L17.mzML Peak area,L18.mzML Peak area,L15.mzML Peak area,L13.mzML Peak area,L14.mzML Peak area,L16.mzML Peak area,L12.mzML Peak area,L1.mzML Peak area
2366,760.5414444,23.485596,0,267165.94,0,0,0,0,970389.6,382905.44,0,0,0,0,381572.5,0,0,0,0,0,2381920.5
822,296.1129051,9.701657,0,0,0,0,0,0,0,0,0,1122337,0,0,0,0,0,0,0,0,0
1103,294.0973846,11.741792,3675364,1570960.5,1329341.6,4887213,3006977.5,1219979.6,1393033.2,1491395.9,4120499.2,2511957.5,1721254.6,3753333.8,4588787,3992775.5,4679886.5,4664412.5,5544831,5231748.5,647696.4
687,229.1185273,9.032905,627143.4,174852.06,0,943342,479671.2,0,0,0,848219.6,365491.44,151857.16,1420009,2016977.2,1305287.6,1232052,1319015.6,2002209.5,1216398.1,0
1855,359.1488049,18.315195,0,1064263.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1444,147.0650887,15.288165,0,842051.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452,455.2383162,7.6588993,0,650215.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1202,312.1345349,12.610671,160623.12,355997.97,0,364320.53,0,0,0,0,307307.44,0,0,980029.9,1634236.6,791260.8,532511.6,729756.8,1467582,603426.56,0
1814,413.1261797,17.826872,0,0,0,0,0,0,0,0,0,734949.8,0,0,0,0,0,0,0,0,0
1801,369.203887,17.69831,4630145,2774566.8,5650180,4412340,5178565,5711804.5,5824713,5874253.5,3042477.2,5651382.5,5416164,5969578,886783.2,529787.44,2391168,1008363.56,1021620.8,2857118.8,3286122.2
3172,637.3047553,29.87841,418614,0,0,742405.6,173597.44,0,0,0,530962.44,163733.06,0,1751004.8,1708730.6,640910.9,1359256.9,1592322,1717320.1,939558.6,303019.03
1990,319.2265665,19.846949,4535716.5,0,3.86E+07,6403414,4652220,0,0,0,535294.6,9048045,3.75E+07,0,0,1.38E+07,852170.3,101094.58,5295945.5,9229016,0
2278,366.3115639,22.792282,0,0,0,0,0,0,0,0,0,0,0,0,0,468396.22,158264.02,434215.47,0,103911.64,1932896.5
1980,341.1961452,19.830519,0,644547.9,0,0,0,0,0,0,0,0,0,524764.44,0,0,0,0,0,0,0
336,323.1115538,7.107388,474619.5,0,0,641633.8,318203.44,0,0,0,601204.56,177314.14,0,674930.4,716814.94,680772.1,697573.75,643019.8,778791.75,638779.25,0
723,392.1817325,9.202204,208570.53,143848.08,0,417956.22,49371.16,0,0,0,312137.1,0,0,793131.6,2055654.2,687288,552286.9,720094.94,1259148.1,588388.2,0
1632,417.2017369,16.373264,0,7564716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3105,562.4235473,29.108484,0,0,0,0,0,0,3944488.8,0,0,0,0,0,0,0,0,0,0,0,0
1580,625.391777,16.26535,1424735.6,860342.94,1101005.5,1446346.2,1207035.8,1130449.8,1925263.4,1495546.9,1614054.8,1371750.6,1403711.5,515519.34,486285.44,425311.2,780592.94,660895,715647.25,1616774.8,1565756.6
1080,195.0655027,11.481464,1277667.6,1731406.8,2423637.8,1132288.9,1616967.2,2555711,1960677.5,2380880,586711.9,2019692.6,2239334.2,0,0,236751.31,401795.44,283058.97,161651.42,673331.4,245161.53
1300,236.0919323,13.508998,860819.1,523860.5,864436.44,937705.2,856016.7,944625.44,1009616.6,1277908.9,532133.44,949939.6,1221997,0,0,0,54666.324,0,0,588856.8,0
2042,311.1854668,20.149681,0,289920.25,173718.92,0,0,310023.2,484131.6,415688.06,0,0,351706.9,579976.4,112748.57,0,0,0,0,0,112834.3
2208,404.2932529,21.964897,0,271131.5,0,0,0,0,930309.3,336672.78,0,0,0,1046760.6,0,0,0,0,0,0,1941723.2
3293,405.2186613,31.521593,0,0,0,0,0,0,0,0,0,2732760,0,0,0,0,0,0,0,0,0
2308,600.4319226,22.985151,0,0,0,0,0,0,982218.7,448761.56,0,0,0,0,861860.94,0,0,0,0,0,2073554.5
2284,237.0868936,22.834028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1578950.1,0
2222,529.1971152,22.187082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452715.84,0
2228,614.4475174,22.279009,0,1026987.2,0,0,0,698495.94,2109209.2,1416562.8,0,0,0,1051321.2,840375.1,0,0,0,0,0,3095809.5
1108,314.1136613,11.792081,1496641.8,667648.75,243127.95,2328266.2,1040586.25,98246.22,52159.414,109036.28,1941509.2,753334.94,466547.3,4051833.8,6033706.5,3705996,3018886,3527135.2,5566626.5,3102364.5,0
2544,172.133314,24.667873,0,0,0,0,0,0,0,0,0,0,0,160366.97,474746.12,613410.3,166179.11,281558.1,491521.7,300813.7,1537283.2
1883,629.3627015,18.696175,4011606.5,4721757,3834698,3685781.5,3338120,4599236.5,6152739.5,5545692,5024591.5,3793441,4139968.2,8099899.5,2919088,1611483.8,2797682.5,2261877.8,2549567.2,3936776,7001789
585,151.0754612,8.365508,0,510217.75,576781.5,0,152070.6,621743.25,575431.8,564649.94,0,286952.84,484220.38,0,0,0,0,0,0,0,0
2441,331.2266643,23.925869,0,0,1518173.1,0,0,0,0,0,0,97382.02,1621316.2,0,0,302833.38,0,0,0,0,0
2434,624.4324981,23.914524,0,0,0,0,0,0,0,0,0,3292380,0,0,0,0,0,0,0,0,0
2094,314.2689515,20.669508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1005030.3
2073,310.2377132,20.518572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1725484.6
1623,211.1333144,16.33068,0,0,209216.38,0,0,653581.5,969552.25,942815.6,0,0,0,54806.594,0,0,0,0,0,0,0
1418,450.2121311,15.084219,0,1742512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433,563.2085004,7.601389,0,3.05E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1309,120.0811264,13.671361,2079889.9,2231629.8,2782689,3593170.5,3746222.5,4214094.5,3934484,4623583,1311222.9,4305625.5,2728720.5,220142.22,229807.84,545992.94,839615.4,655295.3,655786.6,1302341.5,1054011.2
2047,435.2353465,20.2698,0,693070.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1375,346.2590732,14.552652,663674.5,399081.25,113641.32,1020392.9,628379.9,51398.508,224599.78,186445.64,758340.2,594779.1,418755.22,343566.88,243717.5,341103.8,622852.3,458015.6,608453.9,805121,160605.38
864,172.1333316,9.956997,838452.7,0,375404.03,1264968.1,673330.8,53290.5,1309373,335085.88,2348471,344680.94,868397.8,2998015.5,3974573.2,5206665,3183698.5,3626699.2,4409103.5,3733088,2.14E+07
1637,279.2319485,16.392263,2233448.2,779345.1,687330.8,3037890,2061685.5,565759.7,922024.06,762734.75,2349069.5,1591088.1,1204699,1856197.9,2190729.5,1761052.5,2267207.8,2140178.5,2808183.2,2519047,1167389.9
2237,235.1693436,22.421972,0,0,1194634,0,0,0,0,0,0,0,1173605.8,0,0,0,0,0,0,0,0
1322,222.112629,13.785572,0,729616.5,505359.75,0,0,843918.5,1015447,1046941.6,0,49590.1,275766.75,164583.98,0,0,0,0,0,0,668641.5
1786,188.0707511,17.611904,1217928.9,224868.88,501425.62,1399219,1004081.9,296345.1,0,0,1037417.4,1014746.4,700622.4,1450931,780371.7,741238.8,1022216.44,973953.94,1124775.9,1325425.6,0
1755,278.2480137,17.391521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,862211.6
1795,313.2372441,17.689318,2.57E+07,3.89E+07,4.16E+07,2.60E+07,2.99E+07,4.35E+07,5.04E+07,4.83E+07,1.64E+07,3.80E+07,3.94E+07,3.30E+07,8888593,6062683,1.17E+07,8715784,1.04E+07,1.79E+07,3.64E+07
859,155.1067894,9.97067,0,0,0,0,0,0,0,0,0,0,0,47996.367,471294.44,697352.3,289657.5,412740.75,573131.2,576879.4,3972988
862,109.1016741,9.930089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1783191.1
2811,294.2427861,27.079073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1404769.1
2790,352.2459622,26.6912,0,0,0,0,0,0,0,0,0,0,0,0,0,230749.8,0,0,0,0,583127
630,183.113085,8.634892,845072.25,590185.6,962368.06,981574.56,902649.7,872299.2,545906.94,800350.56,585966.6,923936.94,953565.4,757986.56,1119222.9,761996.3,671298.06,747688.6,1184871.6,717513.4,0
490,277.118351,7.9611716,1246854.5,464095.75,383902.62,1805368.9,1070404,285589.84,171797.23,292093.06,1399962.2,854615.75,579153.3,1111445.4,1417467.1,1265153,1456559,1518765,1757022.2,1804138.1,0
1753,397.1047105,17.341635,0,1893854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2241,529.3827115,22.452236,0,0,0,0,0,0,0,0,0,0,0,53462.234,0,0,0,0,0,0,1826915
1416,455.1674527,15.06066,0,1833612.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1344,376.1293356,13.995912,523977.34,526649.06,0,877199.9,353686.1,0,0,0,666528.5,164326.98,0,2508171.2,3441598,1809258.2,1212081,1606125.8,2944058,1202338,0
2265,295.2269079,22.687338,0,324165.4,399209.5,0,0,495197.38,539083.1,622179.56,0,225257.53,237134.2,0,108537.31,0,0,0,0,0,312262.38
2093,179.1067441,20.657528,0,2166914.8,1392792.5,0,0,2421970.5,3072548.5,2950024,0,506390.78,640510.9,0,2013599.2,0,0,0,0,103315.086,0
2070,368.1606138,20.49994,1560935.5,639354.5,867620.5,1939194.5,1416148.5,673934.06,387982.53,654817.06,1552160.9,1280828.2,1026544.06,1051789.2,1681673,826298.5,1328008.1,1193000.9,1358924.4,1865576.8,0
2869,544.3394971,27.403837,0,0,0,0,0,0,0,0,0,1211945.5,0,0,0,0,0,0,0,0,0
2746,1075.408276,26.321402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623155.7,0
2600,613.4914826,25.199863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017320.8
1151,316.1295001,12.170681,482466.47,0,0,700910.44,334363.53,0,0,0,595194.1,292938.84,104097.234,594657.7,825270.4,556170.9,656592.56,687035.94,969134.8,775621.94,0
1158,285.1446931,12.253192,105209.266,491540.44,511394.94,155068.67,226354.56,624667.44,630674,746689.4,0,443180.25,455275.12,0,0,0,0,0,0,0,224431.17
3129,398.2323499,29.366737,429070.2,804727.7,495317.72,1194048.2,292042.06,564840,757238.1,631860.5,489861.84,419416.03,809455.7,803570.1,1170135.4,1258675.4,525032.2,1057210.2,1101563.9,1038361,4852534
1434,250.1438814,15.209286,1190124,1392687.8,1688974,1216769.6,1405231.5,1779850.5,1767472.8,1888427.4,678511.56,1677225.9,1705620.6,0,0,0,305281.34,105906.7,169048.62,678589,764779.75
1140,273.1809639,12.08674,637876.25,417292.5,499928.6,715795.25,601340.25,438899.53,544696.2,481514.62,535849.3,566924.9,504485.12,0,0,0,377831.34,224649.16,181673.45,526082.75,327952.75
1971,172.1697317,19.711582,0,0,0,230919.39,0,0,0,0,399429.3,0,0,691675.2,1079503,857034.7,548855.94,646715.8,949586.6,732539.7,2849491.2
2087,387.1928236,20.611225,8.02E+07,1.22E+07,4.63E+07,7.61E+07,8.42E+07,8.84E+07,4.91E+07,6.51E+07,4.49E+07,6.91E+07,5510835.5,4.58E+07,4.76E+07,4788449,3.11E+07,4719682.5,8.32E+07,5.14E+07,8.84E+07
2282,281.2667777,22.79685,0,0,0,0,0,0,620204.44,0,1101601.9,0,0,0,0,2978082.2,1756026.8,2441280.2,0,2409621.2,1.59E+07
1562,558.3851411,16.137415,0,0,0,0,0,0,314930.53,51019.812,0,0,0,0,0,0,0,0,0,0,534081.75
2318,238.1881182,23.069485,1293144.6,0,1.75E+07,2359308.8,1618701.4,0,0,0,0,3376897.8,1.63E+07,0,0,3739232.2,0,0,1350517.1,2929352.8,0
2675,469.3428199,25.87059,0,1445395.4,0,0,0,704316.2,2802631.5,1492809,0,0,0,0,970333.94,0,0,0,0,0,6353353
3313,229.1989182,31.80231,642479.6,0,0,324057.1,0,0,0,0,784361.5,0,0,0,968713.44,0,0,0,0,0,0
1937,292.224793,19.42316,0,0,0,0,0,0,0,0,0,0,0,0,0,404081.2,52926.65,265059.4,0,51916.84,1533806
1609,739.2713745,16.31581,0,1.43E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2111,512.3797906,20.833498,0,1030014.1,54423.234,0,0,767521.8,1950404.4,1442375.6,0,0,0,2668211,52200.71,0,0,0,0,0,2592126
517,271.1173093,7.997974,0,5479259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
809,175.0868148,9.635922,1.41E+07,6876391.5,1.22E+07,1.36E+07,1.51E+07,9045139,4155072.5,6292174,8787492,1.57E+07,1.52E+07,1693378.5,1649279.8,3172550.8,5591489.5,4407875,3211214.8,7827285.5,641653.94
906,255.0531505,10.291388,684060,312916.75,853266.2,458176.62,795550.25,669070.9,50582.008,309510.9,422892.38,741188,860173.56,0,0,0,48317.64,0,0,102668.6,0
1334,299.2007361,13.9031515,169749.27,0,2815898.2,408808.62,113879.79,0,0,0,0,502330.6,2739240,0,0,832373.3,0,0,177812.14,486135.84,0
1985,159.1168523,19.84674,161117.03,0,3287105.2,380153.62,163728.38,0,0,0,0,597383.56,3231050.5,0,0,943597.44,0,0,286236.7,656384.1,0
1325,357.1481374,13.841769,0,421090.44,323477.62,0,0,504798.5,596616.44,615815.6,0,0,232986.98,0,0,0,0,0,0,0,0
344,254.102385,7.141994,615598.2,227185.83,0,965149.06,478537.06,0,51093.215,0,664681.75,352098.28,151720.16,1189590.2,1834586.1,1110498.9,1004035.6,1188014,1810151.8,1122625.2,0
2022,380.2794725,19.936287,0,0,786073.44,210006.92,0,0,0,0,0,224789.28,784534.5,0,0,522205.94,0,0,0,302288.44,0
804,263.1027388,9.628109,404792.28,0,0,616548.8,216338.12,0,0,0,569755,0,0,950518.56,1342413.1,831573.2,744442.94,901171.1,1439495.2,821110,0
1197,449.1820793,12.499573,155553.83,0,0,334630.75,0,0,0,0,232024.7,0,0,522469.56,823258.56,517351.9,382749,479837.84,797834.75,402022.72,0
1995,299.1830823,19.86277,0,0,0,0,0,0,0,0,0,0,0,419801.53,795421.1,268359.06,381531.88,161817.27,435869.25,0,0
2195,293.211274,21.801395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,864998.7
2549,226.2165645,24.70454,0,0,0,0,0,0,593865.7,0,1078817,0,0,0,0,3003772.8,1690580.4,2412934.2,0,2163028,1.88E+07
1360,194.1178668,14.277524,437163.4,505483.34,579194.5,466968.66,456910.12,631880.7,755834.4,797086.3,297837.03,492353.62,507419,0,0,0,165044.81,0,56747.906,364760.84,281875
2742,356.3271333,26.31785,0,0,0,0,0,0,0,0,0,0,0,0,0,359849.75,0,185300.02,0,0,1902400.8
428,165.0756559,7.601389,0,5.34E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2546,367.2631709,24.666653,0,0,0,0,0,0,0,0,0,788708.44,0,0,0,0,0,0,0,0,0
379,190.0500216,7.3550854,635399.6,230669.47,0,1096788.8,443209.8,0,0,0,956453.7,290268.66,0,2301143,3412390.8,2116702.5,1545286.5,1895358.4,3178464.8,1546113.9,0
1880,422.1708369,18.679174,8408850,3610002,2795774.2,1.22E+07,6774070,2256710,2079310.2,2365486.8,1.04E+07,5423467.5,3845600.8,2.29E+07,2.11E+07,1.30E+07,1.33E+07,1.46E+07,2.06E+07,1.46E+07,915195.56
513,178.0862888,7.9901614,9.14E+07,3.10E+08,3.73E+08,9.32E+07,1.28E+08,4.19E+08,3.81E+08,4.30E+08,6.29E+07,1.84E+08,2.39E+08,4.11E+07,5.33E+07,5.77E+07,8.16E+07,8.00E+07,7.23E+07,7.79E+07,1.51E+08
1510,405.1675982,15.761147,0,0,692425.9,0,0,0,0,0,0,0,687959.94,0,0,50556.297,0,0,0,0,0
2147,290.2090196,21.184313,0,0,0,0,0,0,0,0,156552.98,0,0,0,0,735441.8,399905,599433,0,415233.44,3737800
2311,562.3234043,23.016754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547032.75,0
2476,565.1944901,24.160261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476017.12,0
1432,208.0970837,15.157991,192578.02,713267.56,718904.25,0,310540.62,966279.6,1025884.06,1190922.2,0,411516.78,455249.6,0,0,0,0,0,0,0,0
1349,274.1075733,14.111984,428428.06,334603.1,523089.94,493558.3,510750.22,529231.8,357475.97,541149.06,232974.97,534500.1,541728.75,0,0,0,0,0,0,232402.19,0
1105,248.0895098,11.789212,380299.84,370560.25,762689.9,0,564012.9,667820.6,50050.37,474407.3,0,634084.25,733224.25,0,0,0,0,0,0,0,0
2682,219.1743095,25.945684,0,0,4986242.5,0,0,0,0,0,0,767861.5,3975962.5,0,0,456616.9,0,0,0,338896.4,0
1378,354.0740311,14.548656,166381.06,490715.2,391312.2,0,239092.62,312532.84,226149.31,165716.86,0,313464.97,323531.44,0,0,0,0,0,0,0,0
997,342.1086428,10.827146,296707.5,749588.4,0,524802.2,146355.72,0,0,0,398651.53,0,0,1552918,2601133.5,1337305.5,763523.8,1006721.4,2153579.8,790223.1,0
504,288.1438539,7.9864864,0,760294.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2059,354.2405334,20.444778,0,0,0,0,0,0,0,0,296722.8,0,0,0,0,699713.6,491090.38,699124.06,50766.047,509983.16,678086.94
872,130.0649542,10.014434,1451187.1,397033.6,101108.86,2023954.5,1207260,0,0,0,1602636.1,651112.75,411152,2053794.6,2962378.8,1937589.5,1899145.8,2096234,2923678.5,2217025,0
957,230.1026001,10.576381,161045.14,0,0,421519,52872.195,0,0,0,333447.12,0,0,616169.4,1016628.5,627263.44,552883.3,630199.6,962735.4,551987.8,0
878,308.2222726,10.029791,493163.75,370394.53,169688.8,610057.3,424116.38,120942,447384.56,380285.56,476154.2,379367.78,301256.84,209327.95,362854.72,432369.38,539761,484957.6,466526.75,566432.6,617898.3
281,315.1339372,6.858918,2880978.8,1697767.1,1715682.8,3451317.5,2934715.2,1491076.6,1524538.6,1521615,2165972.5,2769459.2,2605438.5,930139.4,978214.2,1345818.9,1977475.5,1672789.2,1611943.4,2541149.8,510448.25
1429,237.1850054,15.151927,0,0,2509115.2,52671.594,0,0,0,0,0,224901.28,2527070.8,0,0,295436.75,0,0,0,0,0
2035,405.2038828,20.093088,0,0,1468896.5,219947.02,0,0,0,0,0,162564.44,1410569.9,0,0,565039.9,0,0,0,233440.8,0
2184,392.1605401,21.69115,184847,0,0,415386.5,170184.66,0,0,0,262250.25,0,0,0,450264.5,0,242468.05,226505.1,343521.8,364369.44,0
1129,408.1555654,12.0370655,0,97097.984,0,232432.53,0,0,0,0,152465.19,0,0,555062.94,839533.44,496058.28,343977.7,403341.38,793381.1,384760.16,0
1969,315.1956387,19.690369,0,0,698873.6,0,0,0,0,0,0,0,667743.4,0,0,0,0,0,0,0,0
2706,366.3115707,26.074322,0,0,0,0,0,0,0,0,0,0,0,0,0,98537.49,0,0,0,0,2179796.5
134,162.0662894,5.1613255,282332.97,590499.4,1414628.2,160312.83,711166.75,1236020.1,378343.5,742537.6,0,967271.94,1328113.2,0,0,0,0,0,0,0,0
1935,314.3417369,19.409565,0,0,0,0,0,0,850463.6,0,0,0,0,0,0,0,0,0,0,0,0
2196,448.3195059,21.808208,0,374481.22,0,0,0,0,1070493.2,400696.5,0,0,0,1473519.5,0,0,0,0,0,0,2722458.5
2500,266.2479662,24.372292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595558.94
2846,211.1115406,27.29875,0,0,0,0,0,0,0,0,0,1.61E+07,0,0,0,0,0,0,0,0,0
150,231.1205161,5.4816647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3119052
