row ID,MZ_RT,cor, p_value,p_value_corrected,L9,CE,L5,L10,L8,L4,L2,L3,L11,L7,L6,L17,L18,L15,L13,L14,L16,L12,L1
3243,519.3867864_30.839163,-0.384297681,0.104272497,1,4.84E-10,1.92E-04,2.58E-10,3.97E-10,4.22E-10,4.98E-05,7.13E-04,2.66E-04,5.17E-10,2.66E-10,2.74E-10,5.08E-10,4.96E-10,4.72E-10,5.25E-10,5.18E-10,4.52E-10,3.55E-10,7.14E-04
1528,269.1018827_15.906052,0.177203794,0.467992372,1,4.84E-10,1.72E-04,2.58E-10,3.97E-10,4.22E-10,3.06E-10,2.66E-10,2.94E-10,5.17E-10,2.66E-10,2.74E-10,5.08E-10,4.96E-10,4.72E-10,5.25E-10,5.18E-10,4.52E-10,3.55E-10,1.72E-10
2567,565.4110477_24.911541,-0.317160409,0.185807493,1,4.84E-10,2.22E-10,2.58E-10,3.97E-10,4.22E-10,3.06E-10,1.96E-04,2.94E-10,5.17E-10,2.66E-10,2.74E-10,5.08E-10,4.96E-10,4.72E-10,5.25E-10,5.18E-10,4.52E-10,3.55E-10,5.57E-04
2699,156.1383966_26.074303,-0.262677406,0.277269115,1,4.84E-10,2.22E-10,2.58E-10,3.97E-10,4.22E-10,3.06E-10,2.66E-10,2.94E-10,5.17E-10,2.66E-10,2.74E-10,5.08E-10,4.96E-10,4.72E-10,5.25E-10,5.18E-10,4.52E-10,3.55E-10,5.83E-04
282,252.086829_6.880222,0.68449151,0.001225793,1,1.94E-04,2.22E-10,2.58E-10,2.50E-04,1.03E-04,3.06E-10,2.66E-10,2.94E-10,2.46E-04,1.49E-05,2.74E-10,1.28E-04,2.50E-04,1.86E-04,2.72E-04,2.64E-04,3.08E-04,2.11E-04,1.72E-10
2139,252.2323212_21.09791,-0.262675912,0.277271949,1,4.84E-10,2.22E-10,2.58E-10,3.97E-10,4.22E-10,3.06E-10,2.66E-10,2.94E-10,5.17E-10,2.66E-10,2.74E-10,5.08E-10,4.96E-10,4.72E-10,5.25E-10,5.18E-10,4.52E-10,3.55E-10,1.26E-04
2670,376.2845744_25.836924,-0.567223691,0.011316284,1,4.84E-10,3.38E-04,2.16E-04,3.97E-10,4.27E-05,4.30E-04,6.07E-04,6.23E-04,5.17E-10,1.37E-04,1.81E-04,5.08E-10,4.96E-10,4.72E-10,5.25E-10,5.18E-10,4.52E-10,3.57E-05,3.38E-04
2738,172.1332824_26.317352,-0.262676743,0.277270373,1,4.84E-10,2.22E-10,2.58E-10,3.97E-10,4.22E-10,3.06E-10,2.66E-10,2.94E-10,5.17E-10,2.66E-10,2.74E-10,5.08E-10,4.96E-10,4.72E-10,5.25E-10,5.18E-10,4.52E-10,3.55E-10,2.24E-04
3199,399.2889959_30.227388,-0.115493237,0.637764027,1,4.84E-10,2.22E-10,2.58E-10,3.97E-10,4.22E-10,3.06E-10,2.66E-10,2.94E-10,5.17E-10,5.73E-04,2.74E-10,5.08E-10,4.96E-10,4.72E-10,5.25E-10,5.18E-10,4.52E-10,3.55E-10,1.72E-10
375,114.0917931_7.324315,-0.477645631,0.038618583,1,4.84E-10,6.57E-05,2.68E-05,3.97E-10,4.22E-10,8.37E-05,1.92E-04,8.37E-05,5.17E-10,1.29E-05,1.42E-05,5.08E-10,4.96E-10,4.72E-10,5.25E-10,5.18E-10,4.52E-10,3.55E-10,2.22E-04
2333,312.2533373_23.184443,-0.262676599,0.277270646,1,4.84E-10,2.22E-10,2.58E-10,3.97E-10,4.22E-10,3.06E-10,2.66E-10,2.94E-10,5.17E-10,2.66E-10,2.74E-10,5.08E-10,4.96E-10,4.72E-10,5.25E-10,5.18E-10,4.52E-10,3.55E-10,1.97E-04
1385,132.1020904_14.643629,-0.695050582,0.000955797,1,3.25E-04,1.82E-04,2.44E-04,2.80E-04,2.92E-04,3.01E-04,2.80E-04,2.99E-04,2.26E-04,2.14E-04,2.52E-04,2.58E-05,4.96E-10,2.51E-05,2.07E-04,1.15E-04,1.24E-04,1.73E-04,1.25E-04
2576,334.2142203_25.05282,0.287895381,0.231999161,1,4.84E-10,2.22E-10,2.58E-10,3.97E-10,4.22E-10,3.06E-10,2.66E-10,2.94E-10,1.65E-04,2.66E-10,2.74E-10,5.08E-10,4.96E-10,4.26E-04,3.53E-04,4.48E-04,4.52E-10,2.42E-04,3.90E-04
450,218.1387843_7.6553826,-0.649166894,0.002634265,1,4.84E-10,2.23E-05,1.12E-04,3.97E-10,4.22E-10,1.65E-04,1.66E-04,1.53E-04,5.17E-10,1.37E-05,8.16E-05,5.08E-10,4.96E-10,4.72E-10,5.25E-10,5.18E-10,4.52E-10,3.55E-10,1.20E-04
1488,625.3920939_15.609596,-0.236274204,0.330126358,1,4.84E-10,1.86E-04,2.58E-10,1.92E-05,4.22E-10,3.06E-10,2.67E-04,4.69E-05,3.47E-04,2.66E-10,2.74E-10,5.08E-10,4.96E-10,4.72E-10,5.25E-10,5.18E-10,4.76E-05,5.48E-05,5.04E-04
