row_IDs_x_x,IDs,cor_coeffs_x_x,p_values_x_x,adjusted_p_values_x_x,row_IDs_y_x,cor_coeffs_y_x,p_values_y_x,adjusted_p_values_y_x,row_IDs_x_x,cor_coeffs_x_x,p_values_x_x,adjusted_p_values_x_x,row_IDs_x_y,cor_coeffs_x_y,p_values_x_y,adjusted_p_values_x_y,row_IDs_y_y,cor_coeffs_y_y,p_values_y_y,adjusted_p_values_y_y,row_IDs_y_x,cor_coeffs_y_x,p_values_y_x,adjusted_p_values_y_x,row_IDs_x_y,cor_coeffs_x_y,p_values_x_y,adjusted_p_values_x_y,row_IDs_y_y,cor_coeffs_y_y,p_values_y_y,adjusted_p_values_y_y,row_IDs_x_x,cor_coeffs_x_x,p_values_x_x,adjusted_p_values_x_x,row_IDs_x_x,cor_coeffs_x_x,p_values_x_x,adjusted_p_values_x_x,row_IDs_y_x,cor_coeffs_y_x,p_values_y_x,adjusted_p_values_y_x,row_IDs_y_x,cor_coeffs_y_x,p_values_y_x,adjusted_p_values_y_x,row_IDs_x_y,cor_coeffs_x_y,p_values_x_y,adjusted_p_values_x_y,row_IDs_y_y,cor_coeffs_y_y,p_values_y_y,adjusted_p_values_y_y,row_IDs,cor_coeffs,p_values,adjusted_p_values
2119,787.1266069_20.949766,0.9518728404157701,4.185829926291519e-09,9.732054578627782e-06,2119,0.9525411472495201,1.1146031976051182e-09,2.5914524344318997e-06,2119,0.9255833277916055,1.3744932849078614e-08,3.195696887410778e-05,2119,0.9331968534510648,4.634651990000646e-08,0.00010775565876751503,2119,0.9240843704723776,4.36300368638719e-08,0.00010143983570850217,2119,0.9255833277916055,1.3744932849078614e-08,3.195696887410778e-05,2119,0.9234676064454963,1.248534204655615e-07,0.00029028420258243046,2119,0.9235226464360151,4.619717340300225e-08,0.00010740842816198022,2119,0.9255833277916055,1.3744932849078614e-08,3.195696887410778e-05,2119,0.9248874547862298,1.089503608022562e-07,0.00025330958886524564,2119,0.926449986001705,3.4126773401455026e-08,7.934474815838293e-05,2119,0.9255833277916055,1.3744932849078614e-08,3.195696887410778e-05,2119,0.9322439330212897,5.1396268326149876e-08,0.00011949632385829846,2119,0.9257239223890915,3.683097501510799e-08,8.563201691012607e-05,2119,0.9255833277916055,1.3744932849078614e-08,3.195696887410778e-05
2120,383.0759826_20.949451,0.9387052753056866,2.470339761787458e-08,5.74353994615584e-05,2120,0.9407924692101833,6.300413991826097e-09,1.4648462530995676e-05,2120,0.902523414055085,1.2582288077330962e-07,0.00029253819779794486,2120,0.9072524379777673,5.028261437232477e-07,0.0011690707841565508,2120,0.899063872633025,3.930374422681399e-07,0.0009138120532734252,2120,0.9025234140550851,1.2582288077330846e-07,0.00029253819779794215,2120,0.9004436223879775,8.381929370012316e-07,0.0019487985785278635,2120,0.8996652882102438,3.754204602352208e-07,0.0008728525700468884,2120,0.9025234140550852,1.2582288077330732e-07,0.0002925381977979395,2120,0.9041265149167966,6.387638428762869e-07,0.001485125934687367,2120,0.9034602069921296,2.791911486941984e-07,0.0006491194207140112,2120,0.9025234140550852,1.2582288077330732e-07,0.0002925381977979395,2120,0.9075414917159936,4.916145339444362e-07,0.0011430037914208142,2120,0.903513785099044,2.780022183745589e-07,0.0006463551577208494,2120,0.9025234140550852,1.2582288077330732e-07,0.0002925381977979395
954,268.1294665_10.531303,0.9310169934637733,5.858877926219583e-08,0.0001362189117846053,954,0.9345190683414514,1.3822095101710807e-08,3.213637111147763e-05,954,0.8631935082730109,1.953421215263553e-06,0.004541704325487761,954,0.8650167815217504,7.389352099898432e-06,0.017180243632263854,954,0.8568297364929485,5.608225998044734e-06,0.013039125445454006,954,0.8631935082730109,1.953421215263553e-06,0.004541704325487761,954,0.8689915221047249,5.977020405363876e-06,0.013896572442471012,954,0.8591200097516709,4.966862005987644e-06,0.011547954163921272,954,0.863193508273011,1.95342121526354e-06,0.004541704325487731,954,0.855942498858175,1.1709847284829709e-05,0.027225394937229072,954,0.8636343777261082,3.885006877615766e-06,0.009032640990456656,954,0.863193508273011,1.95342121526354e-06,0.004541704325487731,954,0.8689915221047249,5.977020405363876e-06,0.013896572442471012,954,0.873099364029114,2.2541213490600347e-06,0.005240832136564581,954,0.8631935082730109,1.953421215263553e-06,0.004541704325487761
1759,430.1375249_17.39666,0.9268879994556495,8.950942314369151e-08,0.00020810940880908277,1759,0.9299330115790397,2.3409351261433332e-08,5.44267416828325e-05,1759,0.8631448157501942,1.9589996959322115e-06,0.0045546742930423914,1759,0.8634879059459155,8.003444946813637e-06,0.018608009501341706,1759,0.8579568216631438,5.28424344200928e-06,0.012285866002671576,1759,0.8631448157501942,1.9589996959322115e-06,0.0045546742930423914,1759,0.8653285111371352,7.269190820098829e-06,0.016900868656729778,1759,0.8589702486557024,5.006783654135804e-06,0.011640771995865745,1759,0.8631448157501942,1.9589996959322115e-06,0.0045546742930423914,1759,0.8563655689981723,1.146913635120591e-05,0.02666574201655374,1759,0.8628424917931706,4.058598978552726e-06,0.009436242625135089,1759,0.8631448157501944,1.958999695932186e-06,0.0045546742930423325,1759,0.8653285111371352,7.269190820098829e-06,0.016900868656729778,1759,0.8695831466987316,2.772825236780846e-06,0.0064468186755154665,1759,0.8631448157501942,1.9589996959322115e-06,0.0045546742930423914
913,350.1501304_10.3947735,0.9239202052882354,1.19581053400143e-07,0.00027802594915533245,913,0.9275684485317008,3.029794727318075e-08,7.044272741014523e-05,913,0.8582286453587349,2.5984630911717662e-06,0.006041426686974357,913,0.8557371621327006,1.1828213575108781e-05,0.027500596562127916,913,0.852022934822089,7.188757511995998e-06,0.016713861215390695,913,0.858228645358735,2.59846309117175e-06,0.006041426686974319,913,0.8603525950222983,9.399498786232627e-06,0.02185383467799086,913,0.853924461431464,6.523062341509457e-06,0.015166119944009487,913,0.8582286453587351,2.5984630911717345e-06,0.006041426686974283,913,0.8506594151258808,1.5096363311718057e-05,0.03509904469974448,913,0.8582231657636824,5.21007447280888e-06,0.012113423149280647,913,0.8582286453587349,2.5984630911717662e-06,0.006041426686974357,913,0.8603525950222983,9.399498786232627e-06,0.02185383467799086,913,0.8647812255872319,3.6449281543830472e-06,0.008474457958940584,913,0.8582286453587349,2.5984630911717662e-06,0.006041426686974357
2118,405.0580054_20.94552,0.923130736483686,1.289059971498039e-07,0.0002997064433732941,2118,0.9262559393975135,3.483206300088376e-08,8.098454647705474e-05,2118,0.8737723932052323,1.0232894765942793e-06,0.0023791480330816995,2118,0.8599448532574128,9.595398677020298e-06,0.022309301924072194,2118,0.8687711174969461,2.906224601584265e-06,0.006756972198683416,2118,0.8737723932052321,1.0232894765942863e-06,0.0023791480330817155,2118,0.8725125714693474,4.924602753924561e-06,0.011449701402874605,2118,0.8702238361962121,2.6713230098886893e-06,0.006210825997991202,2118,0.8737723932052321,1.0232894765942863e-06,0.0023791480330817155,2118,0.8853862595262134,2.3040882398025115e-06,0.0053570051575408395,2118,0.8751168048207429,1.9960545294621873e-06,0.004640826780999585,2118,0.8737723932052321,1.0232894765942863e-06,0.0023791480330817155,2118,0.8725125714693474,4.924602753924561e-06,0.011449701402874605,2118,0.8763614724666345,1.8498757275681412e-06,0.004300961066595928,2118,0.8737723932052321,1.0232894765942863e-06,0.0023791480330817155
1878,444.1530589_18.667807,0.9176476188543927,2.1263881818534415e-07,0.0004943852522809252,1878,0.9204974044231662,6.239944761253767e-08,0.00014507871569915007,1878,0.8573992336164448,2.722491413068668e-06,0.006329792535384653,1878,0.8636297420795069,7.944707388590962e-06,0.018471444678473985,1878,0.8529270472497795,6.865319929252628e-06,0.01596186883551236,1878,0.8573992336164449,2.7224914130686515e-06,0.006329792535384615,1878,0.8638134681111737,7.869167423671312e-06,0.0182958142600358,1878,0.853057749600665,6.8196114786261185e-06,0.015855596687805725,1878,0.857399233616445,2.722491413068634e-06,0.006329792535384574,1878,0.8507198202116023,1.505340178076212e-05,0.03499915914027193,1878,0.8564633270349217,5.717156980647505e-06,0.01329238998000545,1878,0.857399233616445,2.722491413068634e-06,0.006329792535384574,1878,0.8638134681111733,7.86916742367145e-06,0.01829581426003612,1878,0.8680233181404168,3.0339167787809207e-06,0.007053856510665641,1878,0.8573992336164451,2.7224914130686167e-06,0.0063297925353845335
