row_IDs,IDs,cor_coeffs,p_values,adjusted_p_values,delta_cor_p,indexes,L9.mzML Peak area,CE.mzML Peak area,L5.mzML Peak area,L10.mzML Peak area,L8.mzML Peak area,L4.mzML Peak area,L2.mzML Peak area,L3.mzML Peak area,L11.mzML Peak area,L7.mzML Peak area,L6.mzML Peak area,L17.mzML Peak area,L18.mzML Peak area,L15.mzML Peak area,L13.mzML Peak area,L14.mzML Peak area,L16.mzML Peak area,L12.mzML Peak area,L1.mzML Peak area
7777,777.0_7.77,0.9443153834764612,1.2466516939716514e-09,2.9022051435660044e-06,0.9443124812713176,0,-0.5645472307926619,-0.33240005615099677,-0.9069921643883594,-0.3292795589870302,-0.5762819321346365,-0.954356453330552,-0.8793546206198225,-1.0497720105461446,0.2591935791318827,-0.7231883300616301,-0.8086947142915949,0.9534630214809229,2.161900645551576,0.31646097854567595,1.8133386058666654,1.3897277397092527,0.9436119790261771,0.4279078337927865,-1.1407373118015105
2119,787.1266069_20.949766,0.9255831686757463,1.3745175087227578e-08,3.19987676030658e-05,0.9255511699081432,0,-0.45274520872987195,-0.24656282619087558,-0.8886136560709955,-0.23631098792586447,-0.708142468915695,-0.8022392269127174,-0.9518804454623353,-0.8554670162501109,0.19266681819436052,-0.7955754118019629,-0.8271496207483439,0.7945215372334252,2.7844329433192283,0.15799113023480085,0.8653641784477382,0.8546639521549915,1.4195750891679064,0.7967877765101147,-1.1013165562537928
2120,383.0759826_20.949451,0.9025219796050005,1.258379891250358e-07,0.00029295083868308337,0.9022290287663174,0,-0.26468091217988193,-0.44014981541695897,-0.9090607662055344,-0.14992178057686664,-0.568965690060915,-0.8367519280458285,-0.9697286216955635,-0.8784303289556904,0.3208892597323945,-0.8395141653938485,-0.8201766443167786,0.911039722701996,2.775033933967937,0.3206348144459496,0.8379306110756389,0.8586158896740937,1.2690200090895156,0.6402754971306367,-1.2560590849702917
2118,405.0580054_20.94552,0.8737687685790799,1.0235261351580598e-06,0.002382768842647963,0.8713859997364319,0,-0.0012776422557306557,-0.648854457543194,-0.9965882673447927,-0.043696258747172784,-0.43042323718379877,-0.83466849685807,-1.0589261039718545,-0.9304134427612024,0.5539154257406763,-0.9116637439648502,-0.9075669751360123,1.0735369798933434,2.1637075140595368,0.38945177991953,1.1450190249935541,1.064251070463832,1.399101920379158,0.4470117954630412,-1.4719168851459918
954,268.1294665_10.531303,0.863191179300717,1.953687720981105e-06,0.0045481850144440126,0.858642994286273,0,-0.877485254353258,-0.8774875026831284,-0.8774871983869994,0.2415442964712679,-0.8774857925153043,-0.8774867820899833,-0.8774871294977348,-0.8774868919774665,0.1910572197449108,-0.8774871277094889,-0.8774870590300852,0.9105829126411098,1.7114604887212463,0.8144467669904842,1.1782465009865974,1.160975687324057,1.8972841413453085,0.6692706574589802,-0.8774879334405145
1759,430.1375249_17.39666,0.863143051757028,1.9592020476291178e-06,0.004561022366880586,0.8585820293901474,0,-0.8267008518985605,-0.8267027861093956,-0.8267025243271379,0.12567623184025856,-0.8267013148728218,-0.8267021661918794,-0.8267024650625416,-0.8267022607267444,0.015597598547179743,-0.8267024635241355,-0.8267024044400799,0.9460796442960075,2.270637112509439,0.7790806330846913,0.9613224615356453,1.0481236589952982,1.8415319679373852,0.2789730850921256,-0.8267031566847345
913,350.1501304_10.3947735,0.858226477198589,2.5987808174740955e-06,0.0060499617430796945,0.8521765154555093,0,-0.6603864117956623,-0.8575620884054539,-0.8575618041969851,0.13067759511995544,-0.8575604911318372,-0.8575614153812029,-0.8575617398553439,-0.8575615180146259,-0.13656712548575672,-0.8575617381851464,-0.8575616740395122,1.2264150418679838,2.050047741225137,0.8101869182377652,0.8368282236534721,1.20992307044979,1.7768957092830961,0.474034197381353,-0.8575624907270263
1878,444.1530589_18.667807,0.8573976099472682,2.7227391550374647e-06,0.006338536752927218,0.851059073194341,0,-0.7862398650562051,-0.7862417577784201,-0.7862415016113643,0.2641097011970517,-0.7862403180997171,-0.7862411511580698,-0.7862414436179875,-0.7862412436651718,-0.5939757134165873,-0.78624144211258,-0.7862413842958712,0.8201011678626855,2.246003516382423,0.6794656451039984,0.9977121586640709,1.1165448994361329,1.9582637699828538,0.3741870825877114,-0.7862421204049567
1060,328.1295644_11.283366,0.8552085512805743,3.075053912178966e-06,0.007158725507552632,0.8480498257730217,0,-0.6580689055996265,-0.860063110324128,-0.8600628475432586,0.131071649230525,-0.8600616334752796,-0.8600624880418342,-0.8600627880525878,-0.860062582937318,0.054053470247517395,-0.8600627865083131,-0.8600627271988717,1.123714252006511,2.135972628870562,0.8445372228316781,0.8989477446986304,1.0661733092485957,1.8162477642770898,0.32791531058319245,-0.8600634823130876
1037,239.102901_11.140277,0.8547374270923028,3.155837518914697e-06,0.007346789744033415,0.8473906373482694,0,-0.8534157142022298,-0.8534180216684921,-0.8534177093686554,0.1998242222250736,-0.8534162665192104,-0.8534172821220435,-0.8534176386674402,-0.8534173948998273,0.1240922612072327,-0.8534176368321593,-0.8534175663463248,1.0759555177258493,1.9994455345979862,0.8953327253896323,1.0153127231431753,1.1410300726262221,1.816750166329961,0.2664304711370663,-0.853418463755816
