row_IDs_x,IDs,cor_coeffs_x,p_values_x,adjusted_p_values_x,row_IDs_y,cor_coeffs_y,p_values_y,adjusted_p_values_y,row_IDs,cor_coeffs,p_values,adjusted_p_values
2119,787.1266069_20.949766,0.9562131591067725,2.086604758169584e-09,4.851356062744283e-06,2119,0.9294802531224655,2.4611487084471675e-08,5.7221707471396645e-05,2119,0.9255833277916055,1.3744932849078614e-08,3.195696887410778e-05
2120,383.0759826_20.949451,0.9494644631224092,5.994745798444095e-09,1.3937783981382521e-05,2120,0.9120603929817416,1.3608256760054112e-07,0.0003163919696712581,2120,0.9025234140550851,1.2582288077330846e-07,0.00029253819779794215
2118,405.0580054_20.94552,0.9450945126471726,1.102429692645822e-08,2.563149035401536e-05,2118,0.8944616747005543,5.531593692941701e-07,0.0012860955336089456,2118,0.8737723932052323,1.0232894765942793e-06,0.0023791480330816995
954,268.1294665_10.531303,0.9314516777728663,5.594762683132832e-08,0.00013007823238283834,954,0.8568779151836179,5.59403621035824e-06,0.013006134189082908,954,0.8631935082730109,1.953421215263553e-06,0.004541704325487761
1759,430.1375249_17.39666,0.9267355500873025,9.087779543113665e-08,0.0002112908743773927,1759,0.8579568216631438,5.28424344200928e-06,0.012285866002671576,1759,0.8631448157501943,1.9589996959321984e-06,0.004554674293042361
913,350.1501304_10.3947735,0.9255947565665185,1.016997902832365e-07,0.00023645201240852487,913,0.8549072907277103,6.20023279462365e-06,0.014415541247499986,913,0.858228645358735,2.59846309117175e-06,0.006041426686974319
1060,328.1295644_11.283366,0.9226050428509125,1.3545557101803772e-07,0.0003149342026169377,1060,0.8518267765542786,7.260630381873105e-06,0.016880965637854968,1060,0.8552107891549436,3.074674499898032e-06,0.007148618212262924
1878,444.1530589_18.667807,0.91709561724301,2.2319848318497272e-07,0.0005189364734050616,1878,0.8529270472497796,6.8653199292525885e-06,0.015961868835512268,1878,0.857399233616445,2.722491413068634e-06,0.006329792535384574
