row_IDs_x_x,IDs,cor_coeffs_x_x,p_values_x_x,adjusted_p_values_x_x,row_IDs_y_x,cor_coeffs_y_x,p_values_y_x,adjusted_p_values_y_x,row_IDs_x,cor_coeffs_x,p_values_x,adjusted_p_values_x,row_IDs_x_y,cor_coeffs_x_y,p_values_x_y,adjusted_p_values_x_y,row_IDs_y_y,cor_coeffs_y_y,p_values_y_y,adjusted_p_values_y_y,row_IDs_y,cor_coeffs_y,p_values_y,adjusted_p_values_y
2119,787.1266069_20.949766,0.9507296690001035,4.975004961475406e-09,1.156688653543032e-05,2119,0.923376834919377,4.688456702015314e-08,0.00010900661832185606,2119,0.9255833277916055,1.3744932849078614e-08,3.195696887410778e-05,2119,0.9205945876587149,1.6320808716140354e-07,0.00037945880265026326,2119,0.9233207928504092,4.715111270947683e-08,0.00010962633704953363,2119,0.9255833277916055,1.3744932849078614e-08,3.195696887410778e-05
2120,383.0759826_20.949451,0.9385822184206017,2.506872360447324e-08,5.828478238040028e-05,2120,0.9012979439374017,3.3099190180844296e-07,0.0007695561717046299,2120,0.9025234140550848,1.2582288077331082e-07,0.00029253819779794763,2120,0.8961990471101535,1.1319384084907346e-06,0.0026317567997409578,2120,0.8998772582122885,3.6937609495472626e-07,0.0008587994207697385,2120,0.902523414055085,1.2582288077330962e-07,0.00029253819779794486
954,268.1294665_10.531303,0.9320585182777148,5.243186768822524e-08,0.00012190409237512368,954,0.8579342769276954,5.290562881331518e-06,0.01230055869909578,954,0.8631935082730109,1.953421215263553e-06,0.004541704325487761,954,0.8536646515687007,1.3080912492685174e-05,0.03041312154549303,954,0.8590195430039769,4.993613009782481e-06,0.01161015024774427,954,0.8631935082730109,1.953421215263553e-06,0.004541704325487761
1759,430.1375249_17.39666,0.9271315570883265,8.735997483877293e-08,0.00020311194150014706,1759,0.8580440560763293,5.259852061523106e-06,0.012229156043041221,1759,0.8631448157501942,1.9589996959322115e-06,0.0045546742930423914,1759,0.8540640795026893,1.2831098512347125e-05,0.029832304041207066,1759,0.8591519344242918,4.958387314832564e-06,0.011528250506985712,1759,0.8631448157501942,1.9589996959322115e-06,0.0045546742930423914
913,350.1501304_10.3947735,0.9247203545838809,1.1072665230373781e-07,0.0002574394666061904,913,0.8528220670249391,6.902223043844168e-06,0.01604766857693769,913,0.8582286453587349,2.5984630911717662e-06,0.006041426686974357,913,0.8525275779612113,1.3814794227446853e-05,0.032119396578813936,913,0.8578342214868653,5.318687438102477e-06,0.01236594829358826,913,0.8582286453587349,2.5984630911717662e-06,0.006041426686974357
2118,405.0580054_20.94552,0.9240665863756099,1.1791726986066286e-07,0.00027415765242604117,2118,0.8745814028837307,2.0619282699920874e-06,0.0047939832277316035,2118,0.8737723932052321,1.0232894765942863e-06,0.0023791480330817155,2118,0.8670042798503232,6.651312985240778e-06,0.015464302690684809,2118,0.8715162701366657,2.4762553136866133e-06,0.005757293604321376,2118,0.8737723932052321,1.0232894765942863e-06,0.0023791480330817155
1060,328.1295644_11.283366,0.9216909837405883,1.4752468171750628e-07,0.0003429948849932021,1060,0.8496779702478432,8.089211472701514e-06,0.01880741667403102,1060,0.8552107891549436,3.074674499898032e-06,0.007148618212262924,1060,0.8472410117651574,1.7703358599002936e-05,0.041160308742681825,1060,0.8527516060109711,6.927087120957066e-06,0.016105477556225177,1060,0.8552107891549436,3.074674499898032e-06,0.007148618212262924
1037,239.102901_11.140277,0.9205448257863398,1.6395257102489178e-07,0.0003811897276328734,1037,0.849210661721508,8.279756314817557e-06,0.01925043343195082,1037,0.8547396967753906,3.155443973792073e-06,0.007336407239066569,1037,0.8460676242614772,1.868193889659711e-05,0.04343550793458828,1037,0.8515873256777549,7.349200276184835e-06,0.017086890642129742,1037,0.8547396967753905,3.1554439737920915e-06,0.0073364072390666125
1268,246.0764256_13.161326,0.9193102911254085,1.8337870487489575e-07,0.00042635548883413263,1268,0.8484828714803897,8.584172488235501e-06,0.01995820103514754,1268,0.8540220650340186,3.282014001134179e-06,0.0076306825526369654,1268,0.8437740620975659,2.0727583899876607e-05,0.04819163256721311,1268,0.8493630455131792,8.217203631982092e-06,0.019104998444358364,1268,0.8540220650340186,3.282014001134179e-06,0.0076306825526369654
1878,444.1530589_18.667807,0.9173450247902128,2.1837300776599568e-07,0.0005077172430559399,1878,0.8523158577122996,7.082566016113908e-06,0.016466965987464836,1878,0.8573992336164449,2.7224914130686515e-06,0.006329792535384615,1878,0.8478438837359625,1.7217714652938256e-05,0.040031186568081446,1878,0.8528609207470774,6.888545228325333e-06,0.0160158676558564,1878,0.857399233616445,2.722491413068634e-06,0.006329792535384574
1243,329.1246195_12.920888,0.9123962171316911,3.3282770308747804e-07,0.0007738244096783865,1243,0.8468510093249109,9.301798329182356e-06,0.02162668111534898,1243,0.8521741314721751,3.6283730156234183e-06,0.008435967261324447,1243,0.8506896205863796,1.507486748877375e-05,0.03504906691139897,1243,0.8556428502985804,5.967683933443804e-06,0.013874865145256845,1243,0.8521741314721751,3.6283730156234183e-06,0.008435967261324447
1394,271.06023_14.760498,0.9075218632408264,4.923690355500992e-07,0.0011447580076539808,1394,0.8430444125876889,1.1178358698399795e-05,0.025989683973779522,1394,0.848431948465471,4.427796936050789e-06,0.010294627876318085,1394,0.8431390914223061,2.132634742615024e-05,0.049583757765799305,1394,0.8482509520898567,8.68317182116455e-06,0.02018837448420758,1394,0.848431948465471,4.427796936050789e-06,0.010294627876318085
1009,281.0924044_10.898502,0.8998487209404059,8.749384431577938e-07,0.0020342318803418706,1009,0.8357900771974378,1.5662877341150562e-05,0.03641618981817506,1009,0.8414151367431988,6.343462877014886e-06,0.01474855118905961,1009,0.8437049978906321,2.0792011569221625e-05,0.04834142689844028,1009,0.8487978657850923,8.451261330203031e-06,0.019649182592722046,1009,0.8414151367431988,6.343462877014886e-06,0.01474855118905961
