row_IDs_x,IDs,cor_coeffs_x,p_values_x,adjusted_p_values_x,row_IDs_y,cor_coeffs_y,p_values_y,adjusted_p_values_y,row_IDs,cor_coeffs,p_values,adjusted_p_values
4299,462.3527909_27.242655,0.9509562729496716,0.0035489486209310775,1,4299,0.9364226076555406,0.0018912813220380445,1,4299,0.8762354381172277,0.00431041745019286,1
267,470.3703066_9.179981,0.9493284802532916,0.003786352199296516,1,267,0.9295624077929645,0.0024343175014509446,1,267,0.8572239389507794,0.006519321986487318,1
262,227.1754127_9.180635,0.9454566899076046,0.004381326585165567,1,262,0.9212625073158941,0.003201389450777052,1,262,0.8660300721174655,0.005423403288725977,1
3916,433.3321921_26.053377,0.9420162479410223,0.004945699218400421,1,3916,0.9301266662487147,0.0023865971813027665,1,3916,0.9088628346708291,0.0017654621181438235,1
261,491.2993896_9.175612,0.9386590091106386,0.00552867134531681,1,261,0.923322870069991,0.002999449668746586,1,261,0.8555432444212256,0.006743316342572705,1
4060,528.3923249_26.496937,0.929075623618893,0.007367016466717675,1,4060,0.9148663306446219,0.003877993442210602,1,4060,0.8922411375447026,0.0028808600242391375,1
227,485.3337407_8.532546,0.9286938804826915,0.007445563803826372,1,227,0.919749608091029,0.003354599458266819,1,227,0.9068721692265507,0.0018807902706816145,1
4127,506.3793726_26.650297,0.9276550778519507,0.0076613626568707025,1,4127,0.9098180487562318,0.004466240166123755,1,4127,0.8869307382922385,0.0033143458965917715,1
3940,425.3167038_26.125835,0.9251200653239794,0.00820058085589993,1,3940,0.9084134631433725,0.004638578022059892,1,3940,0.885021549423767,0.0034798930561345037,1
3879,447.3295552_25.989569,0.9246441791638872,0.008303795596544249,1,3879,0.9111324574060943,0.004308403408483293,1,3879,0.8889669079448432,0.003143486972197868,1
4200,520.3765646_26.920593,0.9244705742467858,0.008341605095117728,1,4200,0.9084421966238951,0.004635014364514433,1,4200,0.8771711741367012,0.004216477512902039,1
125,315.133877_6.7227836,0.9223997156668353,0.008799059336593478,1,125,0.9050126392210975,0.005071694921373251,1,125,0.8677412158657505,0.0052252609453105284,1
109,315.1338535_6.419622,0.9223225968143636,0.008816324307771435,1,109,0.9083384952032655,0.00464788340759857,1,109,0.8632392731308436,0.005756786106377604,1
4257,645.4653914_27.12685,0.9220712715886016,0.008872703898107034,1,4257,0.9090115737446882,0.004564726679668685,1,4257,0.8871422496619504,0.0032963251818894667,1
4229,498.3633407_27.039175,0.9185977637625157,0.00966978729825403,1,4229,0.9083282126686769,0.004649160573774078,1,4229,0.8620231606309596,0.005906067917798834,1
3986,550.4054396_26.337746,0.9180291994193568,0.009803428622232897,1,3986,0.9051086269356744,0.005059160704130972,1,3986,0.8833570165351224,0.0036285023185075468,1
4298,623.452349_27.243214,0.917708254169253,0.009879260117720973,1,4298,0.9047929290075518,0.005100453014181095,1,4298,0.8847393860792229,0.003504802709975685,1
4167,542.3894919_26.795519,0.9156548655755234,0.010371132619480907,1,4167,0.9001346357361837,0.005732603767162616,1,4167,0.8768175992413603,0.004251816876524155,1
4351,601.4392267_27.380035,0.9149330826169778,0.010546782361349696,1,4351,0.9028817075099393,0.005354619467917299,1,4351,0.8710956157292855,0.004850451670913314,1
3499,477.3010551_24.94286,0.9123968555340718,0.011175319496362884,1,3499,0.9090847280086038,0.004555741409714681,1,3499,0.8932133215468993,0.002805713810294603,1
4147,564.4026527_26.688196,0.9110864025597053,0.011506982810366615,1,4147,0.8938717634331063,0.006650923865743303,1,4147,0.8695641910330497,0.005019346632759732,1
3857,469.3424752_25.87965,0.9094735896663513,0.011921613083795852,1,3857,0.8975770353554712,0.006098061124376967,1,3857,0.8765248539059554,0.0042812202135713694,1
101,196.133447_6.1575804,0.9075324590560254,0.012430059075367041,1,101,0.8965496531157773,0.0062485691489393615,1,101,0.876988036400729,0.004234758197142246,1
3905,424.8188975_26.038692,0.9051331569472016,0.013072689452924549,1,3905,0.8889336646069081,0.007431349613519276,1,3905,0.8649075850873678,0.00555596138244012,1
1080,647.3737556_16.516388,0.9048831916253727,0.013140540114596982,1,1080,0.8984234100982945,0.005975668454198064,1,1080,0.8686731455519474,0.005119330866066003,1
229,507.3157224_8.5325775,0.9039858703931581,0.013385506269803752,1,229,0.9029347361536737,0.005347470228781978,1,229,0.8987684781275869,0.0024005845208461777,1
4398,637.4495499_27.55468,0.902912497157774,0.013681402226453369,1,4398,0.8875821754910832,0.007653721455758316,1,4398,0.8556623760934876,0.0067272796038873395,1
4559,718.512197_28.007515,0.9017325663856851,0.014010273591955835,1,4559,0.8835381029956566,0.00834190643680433,1,4559,0.8577687111412264,0.006447753039668554,1
86,283.1077667_5.8612037,0.8961884901205364,0.01560586489979495,1,86,0.8783562557743284,0.009274138301754976,1,86,0.8583269798342987,0.006374934376606484,1
163,204.1245542_7.22907,0.8961801376530721,0.01560833122067516,1,163,0.8931299741783222,0.006764961235536433,1,163,0.8904166676307821,0.0030253734155021484,1
4365,659.4625448_27.447262,0.8945868471264535,0.016082227262695353,1,4365,0.8779597904340402,0.009347817988393575,1,4365,0.8541900275901763,0.006927194755320628,1
4091,586.4155324_26.554844,0.8940476072865122,0.01624415829546439,1,4091,0.8771509244759541,0.009499182681155698,1,4091,0.8532231741779508,0.0070605144936102685,1
1017,647.3737248_16.2604,0.8937207862188784,0.016342680647255844,1,1017,0.8888985512336716,0.007437079117769204,1,1017,0.8521951266768877,0.007204057386560394,1
4332,681.4759854_27.330605,0.8907562901841809,0.017249414708767657,1,4332,0.8751055245986586,0.009888211388918192,1,4332,0.8519744942056866,0.007235104272452347,1
563,390.2386864_14.100427,0.8906822937886222,0.017272348316457197,1,563,0.8872716435072046,0.007705352672205724,1,563,0.8715204137444597,0.004804258519160655,1
3957,572.4184921_26.233183,0.8891120429771407,0.017762461651861336,1,3957,0.8835418596372505,0.008341251233368631,1,3957,0.8675999585964216,0.005241438967908635,1
3467,499.3140526_24.840929,0.8883526830920334,0.01800183626937484,1,3467,0.8862297428526175,0.007880055933092281,1,3467,0.8712721968328998,0.004831215494732832,1
216,299.2204772_8.249491,0.8866355930722802,0.018548782436511816,1,216,0.8864818592708821,0.00783757379637344,1,216,0.8839608268424061,0.0035741305780110128,1
3801,491.3556089_25.761276,0.8863856741917087,0.018629043469361957,1,3801,0.8702515347266242,0.010847627056138941,1,3801,0.8558583205035537,0.006700955881085581,1
813,647.3736603_15.6138735,0.8793490229612446,0.020956849869840775,1,813,0.8801499463281189,0.008944991134986122,1,813,0.8546990367776552,0.006857658396744671,1
274,203.1181489_9.327142,0.878960076421654,0.02108933707878869,1,274,0.8681291124968822,0.011283262115683295,1,274,0.8623598012577938,0.005864498996538439,1
