row ID,MZ_RT,cor, p_value,p_value_corrected,C7,C8,C9,C10,C11,C12,C13,C14,C15
5473,175.1116034_31.689598,-0.155208353,0.690090905,1,1.49E-10,1.08E-10,8.84E-11,9.90E-11,1.53E-10,9.49E-04,1.22E-03,1.22E-09,1.49E-09
4641,419.3131997_28.24845,0.154782438,0.690907395,1,1.49E-10,1.08E-10,8.84E-11,4.98E-06,1.86E-04,4.73E-04,9.78E-10,1.22E-09,1.49E-09
1907,374.1964993_19.107523,-0.1547105,0.691045329,1,1.07E-04,1.39E-04,8.84E-11,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4610,309.2784838_28.158638,0.153929979,0.69254241,1,1.49E-10,1.08E-10,8.84E-11,9.90E-11,3.78E-04,9.48E-04,9.78E-10,1.22E-09,1.49E-09
2685,426.3060731_21.89425,-0.153314975,0.69372267,1,1.49E-03,1.40E-03,2.28E-04,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
5454,287.2300635_31.658997,-0.151238816,0.697711243,1,1.49E-10,1.08E-10,8.84E-11,9.90E-11,1.53E-10,7.19E-04,6.77E-04,6.32E-05,1.49E-09
3004,499.3531697_23.008883,0.150688425,0.698769695,1,7.74E-04,2.07E-03,4.96E-04,4.55E-05,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4857,409.331031_28.892956,0.150282018,0.699551541,1,1.49E-10,1.08E-10,8.84E-11,9.90E-11,1.01E-03,2.62E-03,9.78E-10,1.22E-09,1.49E-09
1789,422.170983_18.678738,-0.148021225,0.703905298,1,7.72E-03,9.07E-03,5.30E-04,1.05E-05,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
1500,353.2297387_17.686417,-0.147776385,0.704377252,1,4.04E-03,3.55E-03,7.17E-04,1.51E-04,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4910,440.3729008_29.072144,0.147545232,0.704822903,1,1.49E-10,1.08E-10,8.84E-11,9.90E-11,5.64E-04,1.50E-03,9.78E-10,1.22E-09,1.49E-09
5376,461.3603216_31.201153,-0.147403017,0.705097125,1,1.49E-10,1.08E-10,8.84E-11,9.90E-11,3.10E-05,3.41E-03,3.42E-03,2.01E-04,1.49E-09
642,309.1233864_14.862179,-0.14740091,0.705101187,1,6.80E-04,9.11E-04,8.84E-11,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
