row_IDs_x_x,IDs,cor_coeffs_x_x,p_values_x_x,adjusted_p_values_x_x,row_IDs_y_x,cor_coeffs_y_x,p_values_y_x,adjusted_p_values_y_x,row_IDs_x,cor_coeffs_x,p_values_x,adjusted_p_values_x,row_IDs_x_y,cor_coeffs_x_y,p_values_x_y,adjusted_p_values_x_y,row_IDs_y_y,cor_coeffs_y_y,p_values_y_y,adjusted_p_values_y_y,row_IDs_y,cor_coeffs_y,p_values_y,adjusted_p_values_y
229,507.3157224_8.5325775,0.998244469934115,0.0017555300658850248,1,229,0.9718003563772711,0.005660485442682083,1,229,0.9606207961653709,0.002295549449121715,1,229,0.9838814467607803,0.016118553239219735,1,229,0.9818780061535775,0.002920510375185596,1,229,0.9683906850430541,0.0014829319836427623,1
117,393.2472234_6.5500836,0.9979429104353267,0.00205708956467332,1,117,0.9643993264306251,0.008020257753087063,1,117,0.9407830065306825,0.005156151769683388,1,117,0.9838812086243859,0.016118791375614117,1,117,0.9256513345554974,0.02406246064316416,1,117,0.9159187234089988,0.01030727854570964,1
116,371.2653765_6.5468574,0.9951596323765128,0.004840367623487163,1,116,0.9624268079318863,0.008693368302991611,1,116,0.9451097220467329,0.004436723291916371,1,116,0.9838811722041516,0.01611882779584839,1,116,0.9310714034422987,0.02149765233598752,1,116,0.9209190075515074,0.009133426561552077,1
218,619.4153565_8.249505,0.9933368085973977,0.006663191402602298,1,218,0.9684169153154752,0.0067057516648806855,1,218,0.9589762544393031,0.0024899011406283272,1,218,0.9838817960400954,0.016118203959904598,1,218,0.9755672770884105,0.004567658085622295,1,218,0.9623592480237287,0.0020985741120391446,1
216,299.2204772_8.249491,0.9929670403069542,0.007032959693045848,1,216,0.9833874893360441,0.0025639030159309035,1,216,0.9321070338302327,0.006757707501716775,1,216,0.9904904233225976,0.009509576677402376,1,216,0.9835071517895798,0.0025362964574873093,1,216,0.9730302579444984,0.0010812420298070996,1
227,485.3337407_8.532546,0.9918978074812396,0.008102192518760432,1,227,0.9686950199876081,0.006617654681222516,1,227,0.9541455327984607,0.0031057407047431714,1,227,0.9944242098823236,0.0055757901176763935,1,227,0.9934415415643131,0.0006369550817276677,1,227,0.9802634131295405,0.0005804552673648681,1
3879,447.3295552_25.989569,0.9875798827750338,0.012420117224966165,1,3879,0.9152374937069931,0.02924417084386363,1,3879,0.9158004034470639,0.010335888535936914,1,3879,0.9838806649417047,0.016119335058295325,1,3879,0.9541836993536247,0.011691130658832186,1,3879,0.9308444286698871,0.007008371549502476,1
3918,848.6295725_26.059008,0.9874258713580989,0.012574128641901106,1,3918,0.974730412483991,0.004803723988907992,1,3918,0.9094273872625267,0.011933595663980643,1,3918,0.9849692566640427,0.01503074333595733,1,3918,0.9866827157103282,0.0018411446756905656,1,3918,0.9730715227598425,0.0010779508328533829,1
2693,379.1903817_21.94591,0.9871564441715968,0.012843555828403241,1,2693,0.9564210309013338,0.010849003178561072,1,2693,0.9016523252339713,0.01403277530510614,1,2693,0.9838819241452885,0.016118075854711478,1,2693,0.9283838597257199,0.022757734461680796,1,2693,0.9184391096180944,0.009706989445253318,1
3499,477.3010551_24.94286,0.9861982194781888,0.013801780521811247,1,3499,0.9420189864269566,0.01661303440178971,1,3499,0.928530028494533,0.007479402476050246,1,3499,0.9838811216589571,0.016118878341042864,1,3499,0.9531628251926689,0.01208217126172631,1,3499,0.9467986058449217,0.00417029220722069,1
4060,528.3923249_26.496937,0.9822281486445432,0.01777185135545678,1,4060,0.9204343267432491,0.026617679678506714,1,4060,0.9200317597373507,0.009336683948510073,1,4060,0.983880667579577,0.01611933242042296,1,4060,0.949441149002746,0.013542796499940769,1,4060,0.9410373379357622,0.005112398613230129,1
4299,462.3527909_27.242655,0.9797306980314138,0.02026930196858623,1,4299,0.9475325399735666,0.014312685944260332,1,4299,0.9062872701513414,0.012761617458067035,1,4299,0.9845074668971436,0.015492533102856365,1,4299,0.9863130425412332,0.001918229637282739,1,4299,0.9727069772365537,0.0011071982269525884,1
4257,645.4653914_27.12685,0.9796752309382312,0.020324769061768833,1,4257,0.9119203505162577,0.030961684050519994,1,4257,0.913484201017884,0.01090369054748137,1,4257,0.9838807042126907,0.016119295787309307,1,4257,0.958051338594417,0.010248475995091289,1,4257,0.9239393448781775,0.008457820950843188,1
3857,469.3424752_25.87965,0.9796481863238984,0.020351813676101616,1,3857,0.9126114260975446,0.03060127661694807,1,3857,0.9137888437966514,0.010828168857534366,1,3857,0.9838806759743411,0.016119324025658854,1,3857,0.9629075097582267,0.008527694454424237,1,3857,0.9094735896663514,0.011921613083795822,1
3916,433.3321921_26.053377,0.9728893438303634,0.027110656169636593,1,3916,0.9482052111172463,0.01403976269843171,1,3916,0.9459009561555838,0.004310893804474498,1,3916,0.9838806651136345,0.01611933488636552,1,3916,0.9710731039426859,0.005880214588402827,1,3916,0.9624741334025203,0.0020858642083392527,1
3986,550.4054396_26.337746,0.9709847857561555,0.029015214243844456,1,3986,0.9135244053942462,0.030127224879334773,1,3986,0.9180438572192235,0.009799972116624743,1,3986,0.9838806854771431,0.016119314522856865,1,3986,0.9626924707253305,0.00860167828446137,1,3986,0.9180291994193568,0.009803428622232897,1
4298,623.452349_27.243214,0.9674546676937323,0.03254533230626766,1,4298,0.920360144483435,0.02665460886871766,1,4298,0.9117223073830645,0.01134545465356901,1,4298,0.9838806736903299,0.016119326309670057,1,4298,0.9531462077898638,0.012088571194754176,1,4298,0.9467838819400546,0.004172580000354619,1
361,356.2544007_11.006785,0.9612481919492086,0.03875180805079137,1,361,0.954125032218482,0.011713488682836283,1,361,0.9084840446579029,0.012179524277653593,1,361,0.9811813275631914,0.01881867243680857,1,361,0.982139517319321,0.002857634695239767,1,361,0.982496209768448,0.00045689257969051367,1
