row_IDs_x_x,IDs,cor_coeffs_x_x,p_values_x_x,adjusted_p_values_x_x,row_IDs_y_x,cor_coeffs_y_x,p_values_y_x,adjusted_p_values_y_x,row_IDs_x,cor_coeffs_x,p_values_x,adjusted_p_values_x,row_IDs_x_y,cor_coeffs_x_y,p_values_x_y,adjusted_p_values_x_y,row_IDs_y_y,cor_coeffs_y_y,p_values_y_y,adjusted_p_values_y_y,row_IDs_y,cor_coeffs_y,p_values_y,adjusted_p_values_y
261,491.2993896_9.175612,0.9959762618645723,0.004023738135427668,1,261,0.9818740478866838,0.0029214655440066724,1,261,0.974193952312327,0.0009903353500979029,1,261,0.979898863158553,0.020101136841446987,1,261,0.8825406794613038,0.047463686244751405,1,261,0.8679181745063039,0.025016289021552143,1
3916,433.3321921_26.053377,0.9953061772488103,0.00469382275118968,1,3916,0.9826244155648562,0.0027422549358990366,1,3916,0.9792961421906321,0.0006385372407745457,1,3916,0.9724487210161659,0.027551278983834138,1,3916,0.9603784672274611,0.00941093331747169,1,3916,0.939445754046611,0.00538920439422606,1
4127,506.3793726_26.650297,0.9945630318871354,0.0054369681128646485,1,4127,0.982385057487053,0.0027990126251328227,1,4127,0.9792399668729744,0.0006419948942492553,1,4127,0.9563952050204336,0.043604794979566375,1,4127,0.9288337107048046,0.022545203086738234,1,4127,0.9084523057207782,0.012187840779356076,1
267,470.3703066_9.179981,0.9932952413281395,0.006704758671860489,1,267,0.9779908829879942,0.003906598777467868,1,267,0.9738390818172866,0.0010176382772314032,1,267,0.9951355881874954,0.004864411812504632,1,267,0.8966647861911954,0.03925161887687098,1,267,0.8691105571224149,0.024576867390253825,1
3940,425.3167038_26.125835,0.9931911145631123,0.006808885436887735,1,3940,0.9815102018529512,0.003009705037450039,1,3940,0.9787117211791864,0.0006749623965130522,1,3940,0.9524302838477673,0.04756971615223271,1,3940,0.9237318632722322,0.024992905957300027,1,3940,0.9063951619407992,0.012732722051782741,1
4200,520.3765646_26.920593,0.9925874081210948,0.007412591878905195,1,4200,0.9806864270134523,0.003212666304258643,1,4200,0.9781249885884191,0.0007125404135458192,1,4200,0.9516288022097341,0.048371197790265885,1,4200,0.9122559889207627,0.030786473879852286,1,4200,0.8959480342481967,0.01567694185152571,1
227,485.3337407_8.532546,0.9834373650725686,0.016562634927431374,1,227,0.9711089169577138,0.005869329779943497,1,227,0.9704070424996503,0.0013006567857590757,1,227,0.967495675287046,0.03250432471295395,1,227,0.9453329608108246,0.015216982834286222,1,227,0.9436474109374564,0.004673944397410938,1
4571,549.3973233_28.069935,0.980773629301628,0.019226370698371964,1,4571,0.8832165468225557,0.047059575230782975,1,4571,0.8942026000669349,0.016197534848142407,1,4571,0.9557742001868308,0.04422579981316921,1,4571,0.9334423966747825,0.020405459151654426,1,4571,0.8208201242798809,0.04528181850739225,1
4282,476.3504776_27.193878,0.98077362924908,0.01922637075092004,1,4282,0.9380217504696851,0.018349049857014903,1,4282,0.9421095793989579,0.004929947089688289,1,4282,0.9613292197615066,0.03867078023849335,1,4282,0.9436688587557109,0.015913020560998317,1,4282,0.8629479092888701,0.02688776975891883,1
4299,462.3527909_27.242655,0.9807736201339333,0.01922637986606668,1,4299,0.9296060350382387,0.022181827462661324,1,4299,0.9348072545757564,0.006236603434016021,1,4299,0.955773613859957,0.04422638614004304,1,4299,0.8808874290363785,0.04845678205782993,1,4299,0.9086155386324721,0.012145098377720185,1
262,227.1754127_9.180635,0.9807735855966854,0.01922641440331463,1,262,0.9534172902121179,0.011984306554178979,1,262,0.9394667536917973,0.005385505665389007,1,262,0.988280931904903,0.01171906809509704,1,262,0.9160946720289149,0.02880549690939988,1,262,0.8678656950708081,0.025035714042353174,1
163,204.1245542_7.22907,0.9807735792531022,0.019226420746897843,1,163,0.9580169417368631,0.010261030138233262,1,163,0.9171863321370771,0.010003183021140607,1,163,0.9659801262177128,0.03401987378228721,1,163,0.9153020507294176,0.029211058664104356,1,163,0.9214555424621995,0.009011568231893956,1
2893,293.2112042_22.69384,0.9807733047869602,0.01922669521303977,1,2893,0.9614413456586223,0.009036260308192198,1,2893,0.957172587544793,0.0027120041393117952,1,2893,0.9834225749399419,0.016577425060058104,1,2893,0.9073286897460996,0.033390342274505415,1,2893,0.8644641185189327,0.026310067364627193,1
229,507.3157224_8.5325775,0.9807727770009921,0.01922722299900792,1,229,0.9581203702154856,0.010223296074759003,1,229,0.9576768115855909,0.0026489726625218667,1,229,0.9673527882773143,0.0326472117226857,1,229,0.9442047579583764,0.015687766425686128,1,229,0.94049444379533,0.00520601488305498,1
218,619.4153565_8.249505,0.9807723365761197,0.01922766342388027,1,218,0.9345302356760339,0.019910559540279732,1,218,0.9366399793892946,0.005894559163043295,1,218,0.9644244452236481,0.03557555477635188,1,218,0.9170622738549835,0.028312880918073366,1,218,0.9185563058940747,0.009679501886180195,1
216,299.2204772_8.249491,0.9807721185580949,0.019227881441905126,1,216,0.9535070376678102,0.011949852697645268,1,216,0.9511729367172732,0.003517919299223937,1,216,0.981542732736932,0.018457267263067956,1,216,0.9107797920854563,0.03155945685309846,1,216,0.9182460175037714,0.00975236037645127,1
