row_IDs_x,IDs,cor_coeffs_x,p_values_x,adjusted_p_values_x,row_IDs_y,cor_coeffs_y,p_values_y,adjusted_p_values_y,row_IDs,cor_coeffs,p_values,adjusted_p_values
2627,399.0712552_21.677622,0.9790255069504792,0.003634962788048972,1,2627,0.9812447847423917,0.0005243384996027878,1,2627,0.9704098208966956,0.00028471048140396636,0.8586868119143626
262,227.1754127_9.180635,0.9768853820249839,0.004203900281616266,1,262,0.9454566899076046,0.004381326585165567,1,262,0.9212625073158941,0.003201389450777052,1
4299,462.3527909_27.242655,0.9657567583967469,0.0075675058321019615,1,4299,0.9509562729496716,0.0035489486209310775,1,4299,0.9364226076555406,0.0018912813220380445,1
267,470.3703066_9.179981,0.9591740203814251,0.009841497688154944,1,267,0.9493284802532916,0.003786352199296516,1,267,0.9295624077929645,0.0024343175014509446,1
3916,433.3321921_26.053377,0.9566346777303646,0.01076966997139887,1,3916,0.9420162479410223,0.004945699218400421,1,3916,0.9301266662487147,0.0023865971813027665,1
4738,674.4852947_28.490328,0.9558790577126319,0.011051106225086234,1,4738,0.8980381022129922,0.015064333301533827,1,4738,0.8996542174951099,0.005800251017438599,1
4060,528.3923249_26.496937,0.9509066087860886,0.012961168756074592,1,4060,0.929075623618893,0.007367016466717675,1,4060,0.9148663306446219,0.003877993442210602,1
3879,447.3295552_25.989569,0.9450041999273447,0.015353687536648508,1,3879,0.9246441791638872,0.008303795596544249,1,3879,0.9111324574060943,0.004308403408483293,1
229,507.3157224_8.5325775,0.9442058067844765,0.01568732659937474,1,229,0.9039858703931581,0.013385506269803752,1,229,0.9029347361536737,0.005347470228781978,1
4147,564.4026527_26.688196,0.9419787280945642,0.01663023757878775,1,4147,0.9110864025597053,0.011506982810366615,1,4147,0.8938717634331063,0.006650923865743303,1
4167,542.3894919_26.795519,0.9419102758864036,0.01665950184634802,1,4167,0.9156548655755234,0.010371132619480907,1,4167,0.9001346357361837,0.005732603767162616,1
4127,506.3793726_26.650297,0.9418897103719862,0.016668297157685117,1,4127,0.9276550778519507,0.0076613626568707025,1,4127,0.9098180487562318,0.004466240166123755,1
4257,645.4653914_27.12685,0.9414556945226493,0.016854265655139374,1,4257,0.9220712715886016,0.008872703898107034,1,4257,0.9090115737446882,0.004564726679668685,1
261,491.2993896_9.175612,0.9411171841590118,0.016999776696291536,1,261,0.9386590091106386,0.00552867134531681,1,261,0.923322870069991,0.002999449668746586,1
227,485.3337407_8.532546,0.9397195011052579,0.017604866937793583,1,227,0.9286938804826915,0.007445563803826372,1,227,0.919749608091029,0.003354599458266819,1
408,265.0608316_12.047436,0.9386676983355358,0.01806472967553823,1,408,0.9367405499834258,0.0058760625189907476,1,408,0.9217148669477822,0.0031563919756637327,1
288,180.1019906_9.62139,0.9377368271191258,0.01847491910290934,1,288,0.9347277841370321,0.006251648342481553,1,288,0.9190420112565796,0.00342769969174167,1
3986,550.4054396_26.337746,0.9373767218045521,0.018634400257857425,1,3986,0.9180291994193568,0.009803428622232897,1,3986,0.9051086269356744,0.005059160704130972,1
4718,652.4731333_28.447767,0.9349855973095735,0.019704570769220824,1,4718,0.9158840072392324,0.010315668993789617,1,4718,0.8954591347936783,0.0064106621720293345,1
4655,674.4860663_28.271473,0.9348800149251328,0.01975227045898584,1,4655,0.9074045476016002,0.012463923808312441,1,4655,0.8869980130691025,0.0077510149558287144,1
3940,425.3167038_26.125835,0.9326138574175564,0.020785025565915338,1,3940,0.9251200653239794,0.00820058085589993,1,3940,0.9084134631433725,0.004638578022059892,1
125,315.133877_6.7227836,0.9282463220777577,0.02282284249294353,1,125,0.9223997156668353,0.008799059336593478,1,125,0.9050126392210975,0.005071694921373251,1
4200,520.3765646_26.920593,0.9280331875708605,0.022923855534051813,1,4200,0.9244705742467858,0.008341605095117728,1,4200,0.9084421966238951,0.004635014364514433,1
4298,623.452349_27.243214,0.9273443787695901,0.023251293971744524,1,4298,0.917708254169253,0.009879260117720973,1,4298,0.9047929290075518,0.005100453014181095,1
3857,469.3424752_25.87965,0.9268423267227588,0.023490897699040756,1,3857,0.9094735896663513,0.011921613083795852,1,3857,0.8975770353554712,0.006098061124376967,1
1926,369.0607355_19.170841,0.9264735945024942,0.023667379483127502,1,1926,0.9160175613271129,0.010283408838398315,1,1926,0.895906844775064,0.006343823614739675,1
4559,718.512197_28.007515,0.9255642933004953,0.024104405897925757,1,4559,0.9017325663856851,0.014010273591955835,1,4559,0.8835381029956566,0.00834190643680433,1
4091,586.4155324_26.554844,0.9252825806920846,0.02424032504572625,1,4091,0.8940476072865122,0.01624415829546439,1,4091,0.8771509244759541,0.009499182681155698,1
4365,659.4625448_27.447262,0.9251139793640121,0.024321788835420285,1,4365,0.8945868471264535,0.016082227262695353,1,4365,0.8779597904340402,0.009347817988393575,1
109,315.1338535_6.419622,0.9224534537038276,0.025618889309810797,1,109,0.9223225968143636,0.008816324307771435,1,109,0.9083384952032655,0.00464788340759857,1
4585,696.4989205_28.118439,0.9217093662762974,0.02598552950057335,1,4585,0.9150730574529837,0.010512606935400574,1,4585,0.897295296633602,0.006139122887824315,1
3869,484.3480677_25.937544,0.9213720445271858,0.026152293140442623,1,3869,0.8868847349164736,0.018468936309847958,1,3869,0.8688558713827156,0.011132981728467698,1
