row_IDs_x,IDs,cor_coeffs_x,p_values_x,adjusted_p_values_x,row_IDs_y,cor_coeffs_y,p_values_y,adjusted_p_values_y,row_IDs,cor_coeffs,p_values,adjusted_p_values
2627,399.0712552_21.677622,0.9990453196774027,0.0009546803225972678,1,2627,0.9790262586212135,0.0036347678011902475,1,2627,0.9812447156072005,0.0005243423530677083,1
3706,396.3318136_25.513334,0.9985830489303162,0.0014169510696837584,1,3706,0.9884884446540332,0.001480074353937743,1,3706,0.9628653360489544,0.002042870860033058,1
274,203.1181489_9.327142,0.9978909126862654,0.0021090873137346033,1,274,0.87846670258253,0.049922564752811906,1,274,0.8789594585085176,0.021089547876512713,1
3632,369.2998677_25.32724,0.9972271879133399,0.002772812086660137,1,3632,0.9926202532358854,0.0007601769817308025,1,3632,0.9754192500769243,0.0008988938925657062,1
262,227.1754127_9.180635,0.9972051543973551,0.0027948456026448687,1,262,0.9768856054216182,0.004203839479343636,1,262,0.9454560886045753,0.004381422293560963,1
417,356.2545009_12.19899,0.9969318394362117,0.003068160563788336,1,417,0.8830462635701101,0.04716128701406206,1,417,0.8781184914446996,0.02137737206303914,1
4359,414.3577551_27.403664,0.9968898491797556,0.0031101508202443506,1,4359,0.9880672573440108,0.0015619437605256488,1,4359,0.9631884396141766,0.0020076949603755035,1
3810,303.2317825_25.789885,0.9947869008251756,0.005213099174824376,1,3810,0.9854820906507921,0.0020952794681793753,1,3810,0.9601251435379993,0.0023533056726145647,1
4015,361.2348295_26.394226,0.9937248524239004,0.006275147576099593,1,4015,0.9826149556978373,0.0027444907910753576,1,4015,0.9560289942461248,0.0028576661643299524,1
4507,787.42659_27.850159,0.9936940475632906,0.006305952436709394,1,4507,0.9710281697795408,0.005893881020976811,1,4507,0.8564411211793669,0.029434414177451986,1
2444,787.1265652_20.942709,0.9936532812209073,0.006346718779092653,1,2444,0.9680875606145307,0.006810578003664058,1,2444,0.9730505436676747,0.0010796234610131977,1
4722,714.5354264_28.441086,0.9916046643264593,0.008395335673540671,1,4722,0.9897171550831593,0.0012497777384121794,1,4722,0.9695195104479627,0.001379431259477738,1
3633,291.2681155_25.332138,0.9903187934167823,0.009681206583217694,1,3633,0.9755532884722968,0.004571571700629419,1,3633,0.9553000246303542,0.0029524744593908627,1
3643,309.2786514_25.335022,0.9901864842310714,0.009813515768928638,1,3643,0.9767470077534989,0.004241617599749647,1,3643,0.9570325828206445,0.002729635208591719,1
134,265.1313202_6.9382644,0.9901038469705356,0.00989615302946445,1,134,0.963941335815087,0.008174952975815247,1,134,0.9474315752523467,0.004072524095745022,1
3725,335.2789392_25.586567,0.9898319272731584,0.010168072726841615,1,3725,0.9849552739855236,0.002210180662536331,1,3725,0.9646450820618496,0.0018528590363007433,1
4986,777.5322629_29.37765,0.9896907459683493,0.010309254031650728,1,4986,0.9612431812280692,0.009105735635755171,1,4986,0.8547201565836132,0.030126194248999445,1
4402,773.4112076_27.569529,0.9894701428906212,0.010529857109378815,1,4402,0.9577041723119967,0.01037541522973995,1,4402,0.883789734314312,0.019472539076030686,1
5361,549.4154197_31.040377,0.989305178480818,0.010694821519181996,1,5361,0.9613174791043415,0.009079666768507902,1,5361,0.8973969714347385,0.015251001595264704,1
264,453.3432871_9.18157,0.9887482481012873,0.011251751898712747,1,264,0.9473926157010304,0.014369672457191304,1,264,0.8628167814335983,0.02693801153893293,1
4738,674.4852947_28.490328,0.9883973682043665,0.011602631795633478,1,4738,0.9558784012096387,0.011051351776136507,1,4738,0.8980369462480683,0.01506466886995268,1
5309,549.415407_30.916924,0.9877141462384474,0.012285853761552556,1,5309,0.9548427782936735,0.011440918520614731,1,5309,0.9296737866281279,0.007244755571606611,1
3811,285.2212288_25.789885,0.9873716316084352,0.012628368391564782,1,3811,0.9787142352053716,0.003716004481575785,1,3811,0.9533510213231658,0.003213433761441781,1
2933,445.3676059_22.802647,0.9866094065750058,0.013390593424994157,1,2933,0.9607641277172049,0.009274408256282125,1,2933,0.9329959848001559,0.006583898541382984,1
3442,521.327381_24.758995,0.9855191038149714,0.014480896185028569,1,3442,0.8784050323165542,0.04996008682827992,1,3442,0.873952399407353,0.022830674433938658,1
4370,546.3999898_27.455065,0.9850963195654278,0.014903680434572242,1,4370,0.9512454555830882,0.012827874569656145,1,4370,0.887591412358314,0.018243355797657717,1
4299,462.3527909_27.242655,0.9837192576761893,0.016280742323810715,1,4299,0.9657558209442412,0.007567815513156482,1,4299,0.9509552279865623,0.003549098598990666,1
5153,948.6817242_30.118372,0.982565026277846,0.017434973722153968,1,5153,0.9480401879915776,0.01410655889233542,1,5153,0.8632377257659732,0.026776884186031972,1
4594,776.4719062_28.136703,0.9819371225733576,0.018062877426642365,1,4594,0.9472687544291498,0.014420178613208106,1,4594,0.8781014664306448,0.021383218185526836,1
4753,491.3736107_28.517838,0.9818379682166215,0.018162031783378496,1,4753,0.9665184600729714,0.007317264856107863,1,4753,0.9440986203148043,0.004600101469521859,1
4301,803.4217245_27.249191,0.9815769010710634,0.018423098928936565,1,4301,0.9584589815394158,0.01010007881820392,1,4301,0.9125154478711768,0.011145536732097502,1
3768,306.2425426_25.673367,0.9815690930924741,0.018430906907525912,1,3768,0.9711099156260463,0.005869026345468595,1,3768,0.9444395588827926,0.0045446874233477244,1
4644,776.4717951_28.248446,0.980469222078252,0.019530777921747955,1,4644,0.9454921327005894,0.015150939540743614,1,4644,0.8737256980346008,0.022911064547293383,1
3957,572.4184921_26.233183,0.9802116034370328,0.01978839656296716,1,3957,0.9023636922386937,0.03608162063420021,1,3957,0.8891114652155766,0.017762643196350247,1
4225,293.2108458_27.019627,0.9798467175425288,0.020153282457471167,1,4225,0.9675979498137293,0.006967395543747953,1,4225,0.9398545532995681,0.005317424820544121,1
2938,427.3570525_22.805529,0.9797524692227804,0.020247530777219636,1,2938,0.9574772260831769,0.010458672938788771,1,2938,0.9358899033763918,0.006033407135668283,1
4880,890.6398996_28.996426,0.97863790476057,0.02136209523943,1,4880,0.9690623659060061,0.006501877470942805,1,4880,0.9445313789540762,0.004529819844183656,1
5186,874.6450082_30.21871,0.9783238849216951,0.021676115078304914,1,5186,0.9429486259578759,0.016217397109149982,1,5186,0.8579319179815543,0.028841305696422674,1
4078,417.2610723_26.504862,0.9773824569273644,0.022617543072635637,1,4078,0.9561372737129896,0.010954664610482587,1,4078,0.9423667129391269,0.004886676424690787,1
5006,534.3921601_29.46781,0.9769857920134724,0.023014207986527646,1,5006,0.9649445061153347,0.007837383011504596,1,5006,0.9372604033280423,0.005780905897847441,1
3834,453.3321907_25.839197,0.9766401218005112,0.023359878199488815,1,3834,0.9743630042347771,0.004908596999915346,1,3834,0.9524587760938634,0.0033365263799647648,1
4771,461.3450683_28.58294,0.9750749300440944,0.0249250699559056,1,4771,0.9660694327201121,0.007464448740314148,1,4771,0.9400630531133359,0.005280996532266978,1
4825,439.3317883_28.750702,0.9749070480577933,0.02509295194220673,1,4825,0.9637865800880328,0.008227443722884916,1,4825,0.9365800527330396,0.00590559420831785,1
4662,491.373512_28.302368,0.9747938346625451,0.0252061653374549,1,4662,0.9388606623728171,0.017980074851918135,1,4662,0.914744249566103,0.010592971929822668,1
5033,512.3794078_29.601353,0.9745477556326061,0.025452244367393906,1,5033,0.9625902958151584,0.008636904843070005,1,5033,0.9349102514599743,0.006217130980428757,1
2254,657.3944909_20.319145,0.9721501713281979,0.02784982867180208,1,2254,0.8929159180740532,0.04138276018522199,1,2254,0.8834857326035405,0.019572487701319797,1
267,470.3703066_9.179981,0.9711159697722089,0.02888403022779107,1,267,0.959174516072367,0.009841319193742936,1,267,0.9493287890477983,0.00378630644746399,1
