row_IDs,IDs,cor_coeffs,p_values,adjusted_p_values,delta_cor_p,indexes,C7.mzML Peak area,C8.mzML Peak area,C9.mzML Peak area,C10.mzML Peak area,C11.mzML Peak area,C12.mzML Peak area,C13.mzML Peak area,C14.mzML Peak area,C15.mzML Peak area
227,485.3337407_8.532546,0.9058132239795804,0.0007692152235861568,1,0.9050440087559942,0,-0.804789873862059,-0.007643260080383513,1.818330675325884,1.163349426282329,1.0497732066325984,-0.8047800732190975,-0.8047567685112975,-0.8047469529858134,-0.8047363795821619
3916,433.3321921_26.053377,0.9041211091343313,0.0008172859691975662,1,0.9033038231651337,0,-0.758000697006719,0.02298273084799692,2.196945175737379,0.9687742611318086,0.6012982136364575,-0.758000478676199,-0.7579999595134266,-0.7579997408513661,-0.7579995053059304
229,507.3157224_8.5325775,0.9015498273675866,0.0008942861643961991,1,0.9006555412031904,0,-0.8441364786917811,0.22657590753565357,1.540562302188043,1.1884621096082546,1.2649930191827843,-0.8441302140599388,-0.8441153175459922,-0.8441090434011492,-0.844102284815875
3499,477.3010551_24.94286,0.8911130306798154,0.0012590945418915413,1,0.8898539361379239,0,-0.764890926779134,0.16358490286612395,2.132579031031094,1.171750666667341,0.35651131347887677,-0.7648889064612001,-0.7648841023968854,-0.764882079011048,-0.7648798993951694
216,299.2204772_8.249491,0.8877779335658869,0.0013946027663521866,1,0.8863833307995347,0,-0.8284329294776561,0.42524904901972166,1.7256413764742873,1.4580707617910085,0.5330357133933468,-0.8284211292189485,-0.828393069674057,-0.8283812514963603,-0.8283685208113433
4299,462.3527909_27.242655,0.8873603378681731,0.0014122533029160484,1,0.8859480845652571,0,-0.9237068574132594,-0.5178582006115353,1.4428599706870529,1.4226265312835777,1.064564522555729,0.28263227006239583,-0.9237062604161579,-0.9237060834103227,-0.9237058927374802
4060,528.3923249_26.496937,0.8871318205535341,0.001421977413704855,1,0.8857098431398293,0,-0.7248536619798337,-0.011710170121858928,2.3103924008659047,0.9423483645335752,0.383235044919416,-0.7248534741777847,-0.7248530276079126,-0.7248528395206816,-0.7248526369108245
218,619.4153565_8.249505,0.8865967460444273,0.0014449281473777988,1,0.8851518178970494,0,-0.8528637829698515,0.2880457744575989,1.386316844941768,1.3442950882492468,1.245535149041721,-0.8528549153211911,-0.8528338291575874,-0.8528249480431797,-0.8528153811985252
3879,447.3295552_25.989569,0.8841095772778305,0.0015549928152309997,1,0.8825545844625995,0,-0.7226200390945455,0.07337024107283845,2.3376862290311546,0.9144635488457847,0.287577878817302,-0.7226198774608474,-0.7226194931160531,-0.7226193312369101,-0.722619156858725
4257,645.4653914_27.12685,0.8824434260357575,0.0016318946148436277,1,0.880811531420914,0,-0.7216073659408578,0.1491355170886075,2.3583087171728634,0.8719392207838486,0.22864930664024324,-0.7216070797732578,-0.7216063993023614,-0.7216061127002087,-0.7216058039688775
4127,506.3793726_26.650297,0.8821918432480447,0.0016437310799686405,1,0.880548112168076,0,-0.7207731451035613,-0.19507055725113537,2.234554326544781,1.0537663965498623,0.5106126920222974,-0.7207729433765914,-0.7207724636949924,-0.7207722616616951,-0.7207720440289656
4298,623.452349_27.243214,0.8808975444220624,0.0017055674145186627,1,0.8791919770075437,0,-0.7282445976797483,-0.10682028230968967,2.216430457332498,1.1203572826457109,0.4112524295903447,-0.7282443795279117,-0.728243860790026,-0.7282436423069204,-0.7282434069542569
3940,425.3167038_26.125835,0.8808321843527841,0.001708732141606185,1,0.8791234522111779,0,-0.7244228054417252,-0.2012380321703096,2.1996664879510615,1.110890552016437,0.5127918027049984,-0.7244225791602786,-0.7244220410911935,-0.724421814466133,-0.7244215703428563
3986,550.4054396_26.337746,0.878760047376082,0.001811188197605409,1,0.8769488591784766,0,-0.7167594186539975,0.2682671305067087,2.398782404536737,0.7624686671859672,0.15427599596502947,-0.7167592149978994,-0.7167587307290739,-0.716758526763719,-0.7167583070497534
